t,borrow,dst,src,is_vector,rounds,optype
151,01,01010101,01010100,1,00000110,0001
152,01,00110000,00101111,0,00000000,0011
153,00,00000000,00000000,0,00000000,0000
154,00,00000000,00000000,0,00000000,0000
155,00,00000000,00000000,0,00000000,0000
156,00,00000000,00000000,0,00000000,0000
157,01,01011011,01011010,1,00000110,0001
158,00,00000000,00000000,0,00000000,0000
159,00,00000000,00000000,0,00000000,0000
160,00,00000000,00000000,0,00000000,0000
161,00,00000000,00000000,0,00000000,0000
162,00,00000000,00000000,0,00000000,0000
163,01,01011101,01011100,1,00000110,0001
164,01,00110111,00110110,0,00000000,0011
165,00,00000000,00000000,0,00000000,0000
166,00,00000000,00000000,0,00000000,0000
167,00,00000000,00000000,0,00000000,0000
168,00,00000000,00000000,0,00000000,0000
169,01,01100011,01100010,1,00000110,0001
170,00,00000000,00000000,0,00000000,0000
171,00,00000000,00000000,0,00000000,0000
172,00,00000000,00000000,0,00000000,0000
173,00,00000000,00000000,0,00000000,0000
174,00,00000000,00000000,0,00000000,0000
175,01,01100101,01100100,1,00000110,0001
176,01,00111110,00111101,0,00000000,0011
177,00,00000000,00000000,0,00000000,0000
178,00,00000000,00000000,0,00000000,0000
179,00,00000000,00000000,0,00000000,0000
180,00,00000000,00000000,0,00000000,0000
181,01,01101011,01101010,1,00000110,0001
182,00,00000000,00000000,0,00000000,0000
183,00,00000000,00000000,0,00000000,0000
184,00,00000000,00000000,0,00000000,0000
185,00,00000000,00000000,0,00000000,0000
186,00,00000000,00000000,0,00000000,0000
187,01,01101101,01101100,1,00000110,0001
188,01,01000101,01000100,0,00000000,0011
189,00,00000000,00000000,0,00000000,0000
190,00,00000000,00000000,0,00000000,0000
191,00,00000000,00000000,0,00000000,0000
192,00,00000000,00000000,0,00000000,0000
193,01,01110011,01110010,1,00000110,0001
194,00,00000000,00000000,0,00000000,0000
195,00,00000000,00000000,0,00000000,0000
196,00,00000000,00000000,0,00000000,0000
197,00,00000000,00000000,0,00000000,0000
198,00,00000000,00000000,0,00000000,0000
199,01,01110101,01110100,1,00000110,0001
200,01,01001100,01001011,0,00000000,0011
201,00,00000000,00000000,0,00000000,0000
202,00,00000000,00000000,0,00000000,0000
203,00,00000000,00000000,0,00000000,0000
204,00,00000000,00000000,0,00000000,0000
205,01,01111011,01111010,1,00000110,0001
206,00,00000000,00000000,0,00000000,0000
207,00,00000000,00000000,0,00000000,0000
208,00,00000000,00000000,0,00000000,0000
209,00,00000000,00000000,0,00000000,0000
210,00,00000000,00000000,0,00000000,0000
211,01,01111101,01111100,1,00000110,0001
212,01,01010011,01010010,0,00000000,0011
213,00,00000000,00000000,0,00000000,0000
214,00,00000000,00000000,0,00000000,0000
215,00,00000000,00000000,0,00000000,0000
216,00,00000000,00000000,0,00000000,0000
217,01,10000011,10000010,1,00000110,0001
218,00,00000000,00000000,0,00000000,0000
219,00,00000000,00000000,0,00000000,0000
220,00,00000000,00000000,0,00000000,0000
221,00,00000000,00000000,0,00000000,0000
222,00,00000000,00000000,0,00000000,0000
223,01,10000101,10000100,1,00000110,0001
224,01,01011010,01011001,0,00000000,0011
225,00,00000000,00000000,0,00000000,0000
226,00,00000000,00000000,0,00000000,0000
227,00,00000000,00000000,0,00000000,0000
