t,borrow,dst,src,is_vector,rounds,optype
151,10,10010101,10010100,1,00000100,0001
152,00,00000000,00000000,0,00000000,0000
153,00,00000000,00000000,0,00000000,0000
154,00,00000000,00000000,0,00000000,0000
155,10,10011001,10011000,1,00000100,0001
156,00,00000000,00000000,0,00000000,0000
157,00,00000000,00000000,0,00000000,0000
158,00,00000000,00000000,0,00000000,0000
159,10,10011101,10011100,1,00000100,0001
160,00,00000000,00000000,0,00000000,0000
161,00,00000000,00000000,0,00000000,0000
162,00,00000000,00000000,0,00000000,0000
163,10,10100001,10100000,1,00000100,0001
164,00,00000000,00000000,0,00000000,0000
165,00,00000000,00000000,0,00000000,0000
166,00,00000000,00000000,0,00000000,0000
167,10,10100101,10100100,1,00000100,0001
168,00,00000000,00000000,0,00000000,0000
169,00,00000000,00000000,0,00000000,0000
170,00,00000000,00000000,0,00000000,0000
171,10,10101001,10101000,1,00000100,0001
172,00,00000000,00000000,0,00000000,0000
173,00,00000000,00000000,0,00000000,0000
174,00,00000000,00000000,0,00000000,0000
175,10,10101101,10101100,1,00000100,0001
176,00,00000000,00000000,0,00000000,0000
177,00,00000000,00000000,0,00000000,0000
178,00,00000000,00000000,0,00000000,0000
179,10,10110001,10110000,1,00000100,0001
180,00,00000000,00000000,0,00000000,0000
181,00,00000000,00000000,0,00000000,0000
182,00,00000000,00000000,0,00000000,0000
183,10,10110101,10110100,1,00000100,0001
184,00,00000000,00000000,0,00000000,0000
185,00,00000000,00000000,0,00000000,0000
186,00,00000000,00000000,0,00000000,0000
187,10,10111001,10111000,1,00000100,0001
188,00,00000000,00000000,0,00000000,0000
189,00,00000000,00000000,0,00000000,0000
190,00,00000000,00000000,0,00000000,0000
191,10,10111101,10111100,1,00000100,0001
192,00,00000000,00000000,0,00000000,0000
193,00,00000000,00000000,0,00000000,0000
194,00,00000000,00000000,0,00000000,0000
195,10,11000001,11000000,1,00000100,0001
196,00,00000000,00000000,0,00000000,0000
197,00,00000000,00000000,0,00000000,0000
198,00,00000000,00000000,0,00000000,0000
199,10,11000101,11000100,1,00000100,0001
200,00,00000000,00000000,0,00000000,0000
201,00,00000000,00000000,0,00000000,0000
202,00,00000000,00000000,0,00000000,0000
203,10,11001001,11001000,1,00000100,0001
204,00,00000000,00000000,0,00000000,0000
205,00,00000000,00000000,0,00000000,0000
206,00,00000000,00000000,0,00000000,0000
207,10,11001101,11001100,1,00000100,0001
208,00,00000000,00000000,0,00000000,0000
209,00,00000000,00000000,0,00000000,0000
210,00,00000000,00000000,0,00000000,0000
211,10,11010001,11010000,1,00000100,0001
212,00,00000000,00000000,0,00000000,0000
213,00,00000000,00000000,0,00000000,0000
214,00,00000000,00000000,0,00000000,0000
215,10,11010101,11010100,1,00000100,0001
216,00,00000000,00000000,0,00000000,0000
217,00,00000000,00000000,0,00000000,0000
218,00,00000000,00000000,0,00000000,0000
219,10,11011001,11011000,1,00000100,0001
220,00,00000000,00000000,0,00000000,0000
221,00,00000000,00000000,0,00000000,0000
222,00,00000000,00000000,0,00000000,0000
223,10,11011101,11011100,1,00000100,0001
224,00,00000000,00000000,0,00000000,0000
225,00,00000000,00000000,0,00000000,0000
226,00,00000000,00000000,0,00000000,0000
227,10,11100001,11100000,1,00000100,0001
228,00,00000000,00000000,0,00000000,0000
229,00,00000000,00000000,0,00000000,0000
230,00,00000000,00000000,0,00000000,0000
231,10,11100101,11100100,1,00000100,0001
232,00,00000000,00000000,0,00000000,0000
233,00,00000000,00000000,0,00000000,0000
234,00,00000000,00000000,0,00000000,0000
235,10,11101001,11101000,1,00000100,0001
236,00,00000000,00000000,0,00000000,0000
237,00,00000000,00000000,0,00000000,0000
238,00,00000000,00000000,0,00000000,0000
239,10,11101101,11101100,1,00000100,0001
240,00,00000000,00000000,0,00000000,0000
241,00,00000000,00000000,0,00000000,0000
242,00,00000000,00000000,0,00000000,0000
243,10,11110001,11110000,1,00000100,0001
244,00,00000000,00000000,0,00000000,0000
245,00,00000000,00000000,0,00000000,0000
246,00,00000000,00000000,0,00000000,0000
247,10,11110101,11110100,1,00000100,0001
248,00,00000000,00000000,0,00000000,0000
249,00,00000000,00000000,0,00000000,0000
250,00,00000000,00000000,0,00000000,0000
251,10,11111001,11111000,1,00000100,0001
252,00,00000000,00000000,0,00000000,0000
253,00,00000000,00000000,0,00000000,0000
254,00,00000000,00000000,0,00000000,0000
255,10,11111101,11111100,1,00000100,0001
256,00,00000000,00000000,0,00000000,0000
257,00,00000000,00000000,0,00000000,0000
258,00,00000000,00000000,0,00000000,0000
259,00,00000000,00000000,0,00000000,0000
260,00,00000000,00000000,0,00000000,0000
261,00,00000000,00000000,0,00000000,0000
262,00,00000000,00000000,0,00000000,0000
263,00,00000000,00000000,0,00000000,0000
264,00,00000000,00000000,0,00000000,0000
265,00,00000000,00000000,0,00000000,0000
266,00,00000000,00000000,0,00000000,0000
267,00,00000000,00000000,0,00000000,0000
268,00,00000000,00000000,0,00000000,0000
269,00,00000000,00000000,0,00000000,0000
270,00,00000000,00000000,0,00000000,0000
271,00,00000000,00000000,0,00000000,0000
272,00,00000000,00000000,0,00000000,0000
273,00,00000000,00000000,0,00000000,0000
274,00,00000000,00000000,0,00000000,0000
275,00,00000000,00000000,0,00000000,0000
276,00,00000000,00000000,0,00000000,0000
277,00,00000000,00000000,0,00000000,0000
278,00,00000000,00000000,0,00000000,0000
279,00,00000000,00000000,0,00000000,0000
280,00,00000000,00000000,0,00000000,0000
281,00,00000000,00000000,0,00000000,0000
282,00,00000000,00000000,0,00000000,0000
283,10,00000011,00000010,1,00000100,1001
284,00,00000000,00000000,0,00000000,0000
285,00,00000000,00000000,0,00000000,0000
286,00,00000000,00000000,0,00000000,0000
287,10,00000111,00000110,1,00000100,1001
288,00,00000000,00000000,0,00000000,0000
289,00,00000000,00000000,0,00000000,0000
290,00,00000000,00000000,0,00000000,0000
291,10,00001011,00001010,1,00000100,1001
292,00,00000000,00000000,0,00000000,0000
293,00,00000000,00000000,0,00000000,0000
294,00,00000000,00000000,0,00000000,0000
295,10,00001111,00001110,1,00000100,1001
296,00,00000000,00000000,0,00000000,0000
297,00,00000000,00000000,0,00000000,0000
298,00,00000000,00000000,0,00000000,0000
299,10,00010011,00010010,1,00000100,1001
