Numeric time: 0.083	0.083	0 ms
Symbolic time: 0.116	0.116	0 ms
Numeric time: 0.084	0.084	0 ms
Symbolic time: 0.079	0.079	0 ms
Numeric time: 0.057	0.057	0 ms
Symbolic time: 0.081	0.081	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.081	0.081	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.083	0.083	0 ms
Numeric time: 0.058	0.058	0 ms
Symbolic time: 0.079	0.079	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.08	0.08	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.08	0.08	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.08	0.08	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.079	0.079	0 ms
Numeric time: 0.057	0.057	0 ms
Symbolic time: 0.079	0.079	0 ms
Numeric time: 0.063	0.063	0 ms
Symbolic time: 0.079	0.079	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.08	0.08	0 ms
Numeric time: 0.057	0.057	0 ms
Symbolic time: 0.079	0.079	0 ms
Numeric time: 0.058	0.058	0 ms
Symbolic time: 0.079	0.079	0 ms
Numeric time: 0.057	0.057	0 ms
Symbolic time: 0.079	0.079	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.08	0.08	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.085	0.085	0 ms
Numeric time: 0.066	0.058	0 ms
Symbolic time: 0.08	0.081	0 ms
Numeric time: 0.056	0.057	0 ms
Symbolic time: 0.079	0.08	0 ms
Numeric time: 0.056	0.057	0 ms
Symbolic time: 0.08	0.08	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.081	0.081	0 ms
Numeric time: 0.057	0.056	0 ms
Symbolic time: 0.079	0.079	0 ms
Numeric time: 0.058	0.057	0 ms
Symbolic time: 0.078	0.079	0 ms
Numeric time: 0.061	0.06	0 ms
Symbolic time: 0.08	0.081	0 ms
Numeric time: 0.056	0.057	0 ms
Symbolic time: 0.08	0.08	0 ms
Numeric time: 0.057	0.057	0 ms
Symbolic time: 0.079	0.08	0 ms
Numeric time: 0.058	0.057	0 ms
Symbolic time: 0.079	0.079	0 ms
Numeric time: 0.056	0.057	0 ms
Symbolic time: 0.08	0.08	0 ms
Numeric time: 0.056	0.057	0 ms
Symbolic time: 0.08	0.079	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.084	0.085	0 ms
Numeric time: 0.057	0.056	0 ms
Symbolic time: 0.078	0.079	0 ms
Numeric time: 0.057	0.057	0 ms
Symbolic time: 0.08	0.08	0 ms
Numeric time: 0.056	0.057	0 ms
Symbolic time: 0.08	0.079	0 ms
Numeric time: 0.056	0.057	0 ms
Symbolic time: 0.08	0.08	0 ms
Numeric time: 0.057	0.057	0 ms
Symbolic time: 0.078	0.078	0 ms
Numeric time: 0.058	0.057	0 ms
Symbolic time: 0.082	0.082	0 ms
Numeric time: 0.057	0.056	0 ms
Symbolic time: 0.08	0.08	0 ms
Numeric time: 0.055	0.056	0 ms
Symbolic time: 0.08	0.08	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.079	0.08	0 ms
Numeric time: 0.057	0.057	0 ms
Symbolic time: 0.079	0.079	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.081	0.082	0 ms
Numeric time: 0.057	0.056	0 ms
Symbolic time: 0.08	0.08	0 ms
Numeric time: 0.057	0.056	0 ms
Symbolic time: 0.08	0.08	0 ms
Numeric time: 0.056	0.057	0 ms
Symbolic time: 0.079	0.078	0 ms
Numeric time: 0.057	0.056	0 ms
Symbolic time: 0.079	0.079	0 ms
Numeric time: 0.056	0.057	0 ms
Symbolic time: 0.08	0.08	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.081	0.081	0 ms
Numeric time: 0.057	0.057	0 ms
Symbolic time: 0.08	0.079	0 ms
Numeric time: 0.058	0.057	0 ms
Symbolic time: 0.082	0.081	0 ms
Numeric time: 0.057	0.057	0 ms
Symbolic time: 0.082	0.081	0 ms
Numeric time: 0.057	0.056	0 ms
Symbolic time: 0.08	0.08	0 ms
Numeric time: 0.056	0.057	0 ms
Symbolic time: 0.079	0.079	0 ms
Numeric time: 0.056	0.057	0 ms
Symbolic time: 0.079	0.079	0 ms
Numeric time: 0.057	0.057	0 ms
Symbolic time: 0.08	0.08	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.08	0.08	0 ms
Numeric time: 0.06	0.061	0 ms
Symbolic time: 0.08	0.079	0 ms
Numeric time: 0.057	0.056	0 ms
Symbolic time: 0.079	0.079	0 ms
Numeric time: 0.057	0.057	0 ms
Symbolic time: 0.08	0.08	0 ms
Numeric time: 0.057	0.057	0 ms
Symbolic time: 0.08	0.079	0 ms
Numeric time: 0.056	0.055	0 ms
Symbolic time: 0.08	0.079	0 ms
Numeric time: 0.057	0.056	0 ms
Symbolic time: 0.078	0.078	0 ms
Numeric time: 0.056	0.057	0 ms
Symbolic time: 0.084	0.083	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.079	0.079	0 ms
Numeric time: 0.056	0.055	0 ms
Symbolic time: 0.079	0.08	0 ms
Numeric time: 0.057	0.057	0 ms
Symbolic time: 0.089	0.089	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.074	0.074	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.068	0.067	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.067	0.067	0 ms
Numeric time: 0.05	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.051	0.051	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.067	0.068	0 ms
Numeric time: 0.05	0.05	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.069	0.07	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.067	0.068	0 ms
Numeric time: 0.049	0.05	0 ms
Symbolic time: 0.071	0.071	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.05	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.052	0.053	0 ms
Symbolic time: 0.067	0.068	0 ms
Numeric time: 0.049	0.05	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.067	0.067	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.067	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.073	0.073	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.053	0.054	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.069	0.069	0 ms
