cycle,load,store,vector,scalar,sfu,reserved,eop,word_hex
45,0x0000002c293,0x00000000000,0x042c1c0e3,0x00000000,0x21211061,0,0,000000b0a4c000000000010b07038c0000000212110610
46,0x0000002e29b,0x00000000000,0x02fe0106c,0x0948e8c4,0x00000000,0,0,000000b8a6c00000000000bf8041b04a47462000000000
47,0x0000002f29f,0x00000000000,0x04505a403,0x00000000,0x00000000,0,0,000000bca7c000000000011416900c0000000000000000
48,0x00000031307,0x00000000000,0x04545a423,0x00000000,0x00000000,0,0,000000c4c1c000000000011516908c0000000000000000
49,0x00000030303,0x00000000000,0x04585a443,0x00000000,0x00000000,0,0,000000c0c0c000000000011616910c0000000000000000
50,0x0000003230b,0x00000000000,0x045c5a463,0x00000000,0x00000000,0,0,000000c8c2c000000000011716918c0000000000000000
51,0x0000003330f,0x00000000000,0x04605a483,0x00000000,0x21615061,0,0,000000ccc3c000000000011816920c0000000216150610
52,0x00000034313,0x00000000000,0x04645a4a3,0x00000000,0x00000000,0,0,000000d0c4c000000000011916928c0000000000000000
53,0x00000035317,0x00000000000,0x24685a4c3,0x09896944,0x00000000,0,0,000000d4c5c000000000091a16930c4c4b4a2000000000
54,0x0000003731f,0x00000000000,0x02fc0104c,0x0cec4c24,0x00000000,0,0,000000dcc7c00000000000bf0041306762612000000000
55,0x0000003631b,0x00000000000,0x03000108c,0x0d2ccca4,0x00000000,0,0,000000d8c6c00000000000c00042306966652000000000
56,0x00000038383,0x00000000000,0x0302010ac,0x00000000,0x00000000,0,0,000000e0e0c00000000000c08042b00000000000000000
57,0x00000039387,0x00000000000,0x246c5a4e3,0x00000000,0x21a19061,0,0,000000e4e1c000000000091b16938c000000021a190610
58,0x0000003a38b,0x00000000000,0x0304010cc,0x00000000,0x00000000,0,0,000000e8e2c00000000000c10043300000000000000000
59,0x0000003b38f,0x00000000000,0x0306010ec,0x00000000,0x00000000,0,0,000000ece3c00000000000c18043b00000000000000000
60,0x0000003d397,0x00000000000,0x03360140c,0x00000000,0x00000000,0,0,000000f4e5c00000000000cd8050300000000000000000
61,0x0000003c393,0x00000000000,0x249098803,0x10afefc4,0x00000000,0,0,000000f0e4c000000000092426200c857f7e2000000000
62,0x0000003e39b,0x00000000000,0x03380142c,0x0d4d0ce4,0x00000000,0,0,000000f8e6c00000000000ce0050b06a68672000000000
63,0x0000003f39f,0x00000000000,0x033e0148c,0x10d03004,0x21e1d061,0,0,000000fce7c00000000000cf805230868180221e1d0610
64,0x00000000000,0x00000000000,0x033a0144c,0x00000000,0x00000000,0,0,0000000000000000000000ce8051300000000000000000
65,0x00000000000,0x00000000000,0x249498823,0x00000000,0x00000000,0,0,00000000000000000000092526208c0000000000000000
