cycle,load,store,vector,scalar,sfu,reserved,eop,word_hex
45,0x0000002d2c7,0x00000000000,0x02c600e2c,0x0908e8c4,0x42a29041,0,0,000000b4b1c00000000000b18038b0484746242a290410
46,0x0000002e2e3,0x00000000000,0x02c400e0c,0x00000000,0x00000000,0,0,000000b8b8c00000000000b10038300000000000000000
47,0x0000002f2e7,0x00000000000,0x02d200f0c,0x09e9c9a4,0x00000000,0,0,000000bcb9c00000000000b4803c304f4e4d2000000000
48,0x00000030303,0x00000000000,0x02d400f2c,0x00000000,0x00000000,0,0,000000c0c0c00000000000b5003cb00000000000000000
49,0x00000031307,0x00000000000,0x02e00100c,0x0acaaa84,0x43635041,0,0,000000c4c1c00000000000b80040305655542436350410
50,0x00000032323,0x00000000000,0x02e20102c,0x00000000,0x00000000,0,0,000000c8c8c00000000000b88040b00000000000000000
51,0x00000033327,0x00000000000,0x02ee0110c,0x0bab8b64,0x00000000,0,0,000000ccc9c00000000000bb8044305d5c5b2000000000
52,0x00000034343,0x00000000000,0x02f00112c,0x00000000,0x00000000,0,0,000000d0d0c00000000000bc0044b00000000000000000
53,0x00000035347,0x00000000000,0x02060006b,0x0c8c6c44,0x43a39041,0,0,000000d4d1c00000000000818001ac646362243a390410
54,0x00000036363,0x00000000000,0x02fc0120c,0x00000000,0x00000000,0,0,000000d8d8c00000000000bf0048300000000000000000
55,0x00000037367,0x00000000000,0x030a0130c,0x0d6d4d24,0x00000000,0,0,000000dcd9c00000000000c2804c306b6a692000000000
56,0x00000038383,0x00000000000,0x02fe0122c,0x00000000,0x00000000,0,0,000000e0e0c00000000000bf8048b00000000000000000
57,0x00000039387,0x00000000000,0x0208000ab,0x0e4e2e04,0x44645041,0,0,000000e4e1c00000000000820002ac7271702446450410
58,0x0000003a3a3,0x00000000000,0x030c0132c,0x00000000,0x00000000,0,0,000000e8e8c00000000000c3004cb00000000000000000
59,0x0000003b3a7,0x00000000000,0x03180140c,0x0f2f0ee4,0x00000000,0,0,000000ece9c00000000000c60050307978772000000000
60,0x0000003c3c3,0x00000000000,0x031a0142c,0x00000000,0x00000000,0,0,000000f0f0c00000000000c68050b00000000000000000
61,0x0000003d3c7,0x00000000000,0x02140016b,0x00000000,0x44a49041,0,0,000000f4f1c00000000000850005ac000000044a490410
62,0x0000003e3e3,0x00000000000,0x03260150c,0x00000000,0x00000000,0,0,000000f8f8c00000000000c98054300000000000000000
63,0x0000003f3e7,0x00000000000,0x03340160c,0x100fefc4,0x00000000,0,0,000000fcf9c00000000000cd005830807f7e2000000000
64,0x00000000000,0x00000000000,0x03280152c,0x00000000,0x00000000,0,0,0000000000000000000000ca0054b00000000000000000
65,0x00000000000,0x00000000000,0x0216001ab,0x10f0d0a4,0x45655041,0,0,0000000000000000000000858006ac8786852456550410
66,0x00000000000,0x00000000000,0x03360162c,0x00000000,0x00000000,0,0,0000000000000000000000cd8058b00000000000000000
67,0x00000000000,0x00000000000,0x03420170c,0x11d1b184,0x00000000,0,0,0000000000000000000000d0805c308e8d8c2000000000
68,0x00000000000,0x00000000000,0x03440172c,0x00000000,0x00000000,0,0,0000000000000000000000d1005cb00000000000000000
69,0x00000000000,0x00000000000,0x02220026b,0x00a08062,0x45a59041,0,0,0000000000000000000000888009ac050403145a590410
70,0x00000000000,0x00000000000,0x03500180c,0x00000000,0x00000000,0,0,0000000000000000000000d40060300000000000000000
71,0x00000000000,0x00000000000,0x035e0190c,0x12b29264,0x00000000,0,0,0000000000000000000000d78064309594932000000000
72,0x00000000000,0x00000000000,0x03520182c,0x00000000,0x00000000,0,0,0000000000000000000000d48060b00000000000000000
73,0x00000000000,0x00000000000,0x0224002ab,0x13937344,0x46665041,0,0,000000000000000000000089000aac9c9b9a2466650410
74,0x00000000000,0x00000000000,0x03600192c,0x00000000,0x00000000,0,0,0000000000000000000000d80064b00000000000000000
75,0x00000000000,0x00000000000,0x036c01a0c,0x14745424,0x00000000,0,0,0000000000000000000000db006830a3a2a12000000000
76,0x00000000000,0x00000000000,0x036e01a2c,0x00000000,0x40c0a003,0,0,0000000000000000000000db8068b0000000040c0a0030
77,0x00000000000,0x00000000000,0x02300036b,0x01816142,0x46a69041,0,0,00000000000000000000008c000dac0c0b0a146a690410
78,0x00000000000,0x00000000000,0x037a01b0c,0x00000000,0x00000000,0,0,0000000000000000000000de806c300000000000000000
79,0x00000000000,0x00000000000,0x038801c0c,0x15553504,0x00000000,0,0,0000000000000000000000e2007030aaa9a82000000000
80,0x00000000000,0x00000000000,0x037c01b2c,0x00000000,0x00000000,0,0,0000000000000000000000df006cb00000000000000000
81,0x00000000000,0x00000000000,0x0232003ab,0x163615e4,0x00000000,0,0,00000000000000000000008c800eacb1b0af2000000000
82,0x00000000000,0x00000000000,0x038a01c2c,0x00000000,0x00000000,0,0,0000000000000000000000e28070b00000000000000000
83,0x00000000000,0x00000000000,0x039601d0c,0x1716f6c4,0x00000000,0,0,0000000000000000000000e5807430b8b7b62000000000
84,0x00000000000,0x00000000000,0x039801d2c,0x00000000,0x41a18003,0,0,0000000000000000000000e60074b0000000041a180030
85,0x00000000000,0x00000000000,0x023e0046b,0x02624222,0x00000000,0,0,00000000000000000000008f8011ac1312111000000000
86,0x00000000000,0x00000000000,0x03a401e0c,0x00000000,0x00000000,0,0,0000000000000000000000e90078300000000000000000
87,0x00000000000,0x00000000000,0x03b201f0c,0x17f7d7a4,0x00000000,0,0,0000000000000000000000ec807c30bfbebd2000000000
88,0x00000000000,0x00000000000,0x03a601e2c,0x00000000,0x00000000,0,0,0000000000000000000000e98078b00000000000000000
89,0x00000000000,0x00000000000,0x0240004ab,0x18d8b884,0x00000000,0,0,0000000000000000000000900012acc6c5c42000000000
90,0x00000000000,0x00000000000,0x03b401f2c,0x00000000,0x00000000,0,0,0000000000000000000000ed007cb00000000000000000
91,0x00000000000,0x00000000000,0x000000000,0x19b99964,0x00000000,0,0,000000000000000000000000000000cdcccb2000000000
