case,slot,field,width,events,unique_values,entropy_bits_per_event,most_common_value,most_common_fraction,event_to_event_repeat_pairs,event_to_event_repeat_fraction,adjacent_cycle_pairs,adjacent_cycle_repeat_fraction
softplus_x64,sfu,optype,4,512,2,1.0,1,0.5,511,0.9197651663405088,0,0.0
logsumexp_x32,load,mem_fmt,2,128,1,-0.0,0,1.0,127,1.0,110,1.0
logsumexp_x32,load,mem_addr,28,128,128,7.0,0,0.0078125,127,0.0,110,0.0
logsumexp_x32,load,gpr_fmt,2,128,1,-0.0,0,1.0,127,1.0,110,1.0
logsumexp_x32,load,gpr_addr,8,128,128,7.0,0,0.0078125,127,0.0,110,0.0
logsumexp_x32,load,optype,2,128,1,-0.0,3,1.0,127,1.0,110,1.0
logsumexp_x32,store,mem_fmt,2,32,1,-0.0,0,1.0,31,1.0,0,0.0
logsumexp_x32,store,mem_addr,28,32,32,5.0,0,0.03125,31,0.0,0,0.0
logsumexp_x32,store,gpr_fmt,2,32,1,-0.0,0,1.0,31,1.0,0,0.0
logsumexp_x32,store,gpr_addr,8,32,16,4.0,15,0.0625,31,0.0,0,0.0
logsumexp_x32,store,optype,2,32,1,-0.0,2,1.0,31,1.0,0,0.0
logsumexp_x32,vector,half,2,384,1,-0.0,0,1.0,383,1.0,271,1.0
logsumexp_x32,vector,imm,1,384,1,-0.0,0,1.0,383,1.0,271,1.0
logsumexp_x32,vector,connect,2,384,2,0.9182958340544896,1,0.6666666666666666,383,0.8381201044386423,271,0.8044280442804428
logsumexp_x32,vector,dst,8,384,180,7.3838816410982835,16,0.010416666666666666,383,0.0,271,0.0
logsumexp_x32,vector,src1,8,384,17,2.2516291673878226,0,0.6666666666666666,383,0.783289817232376,271,0.7269372693726938
logsumexp_x32,vector,src0,8,384,192,7.502396680172057,1,0.0078125,383,0.0,271,0.0
logsumexp_x32,vector,mask,1,384,1,-0.0,0,1.0,383,1.0,271,1.0
logsumexp_x32,vector,optype,4,384,3,1.584962500721156,12,0.3333333333333333,383,0.6788511749347258,271,0.6605166051660517
logsumexp_x32,scalar,imm,1,224,1,-0.0,0,1.0,223,1.0,72,1.0
logsumexp_x32,scalar,connect,1,224,1,-0.0,0,1.0,223,1.0,72,1.0
logsumexp_x32,scalar,dst,8,224,112,6.807354922057591,4,0.008928571428571428,223,0.0,72,0.0
logsumexp_x32,scalar,src1,8,224,112,6.807354922057591,1,0.008928571428571428,223,0.0,72,0.0
logsumexp_x32,scalar,src0,8,224,112,6.807354922057591,0,0.008928571428571428,223,0.0,72,0.0
logsumexp_x32,scalar,mask,1,224,1,-0.0,0,1.0,223,1.0,72,1.0
logsumexp_x32,scalar,optype,4,224,2,0.9852281360342515,2,0.5714285714285714,223,0.6816143497757847,72,0.8333333333333334
logsumexp_x32,sfu,borrow,2,160,1,-0.0,2,1.0,159,1.0,0,0.0
logsumexp_x32,sfu,dst,8,160,122,6.846928094887363,5,0.0125,159,0.0,0,0.0
logsumexp_x32,sfu,src,8,160,122,6.846928094887363,4,0.0125,159,0.0,0,0.0
logsumexp_x32,sfu,is_vector,1,160,2,0.7219280948873623,1,0.8,159,0.6163522012578616,0,0.0
logsumexp_x32,sfu,rounds,8,160,2,0.7219280948873623,4,0.8,159,0.6163522012578616,0,0.0
logsumexp_x32,sfu,optype,4,160,2,0.7219280948873623,1,0.8,159,0.6163522012578616,0,0.0
logsumexp_x64,load,mem_fmt,2,256,1,-0.0,0,1.0,255,1.0,206,1.0
logsumexp_x64,load,mem_addr,28,256,256,8.0,0,0.00390625,255,0.0,206,0.0
logsumexp_x64,load,gpr_fmt,2,256,1,-0.0,0,1.0,255,1.0,206,1.0
logsumexp_x64,load,gpr_addr,8,256,256,8.0,0,0.00390625,255,0.0,206,0.0
logsumexp_x64,load,optype,2,256,1,-0.0,3,1.0,255,1.0,206,1.0
logsumexp_x64,store,mem_fmt,2,64,1,-0.0,0,1.0,63,1.0,0,0.0
logsumexp_x64,store,mem_addr,28,64,64,6.0,0,0.015625,63,0.0,0,0.0
logsumexp_x64,store,gpr_fmt,2,64,1,-0.0,0,1.0,63,1.0,0,0.0
logsumexp_x64,store,gpr_addr,8,64,16,4.0,15,0.0625,63,0.0,0,0.0
logsumexp_x64,store,optype,2,64,1,-0.0,2,1.0,63,1.0,0,0.0
logsumexp_x64,vector,half,2,768,1,-0.0,0,1.0,767,1.0,537,1.0
logsumexp_x64,vector,imm,1,768,1,-0.0,0,1.0,767,1.0,537,1.0
logsumexp_x64,vector,connect,2,768,2,0.9182958340544896,1,0.6666666666666666,767,0.8357235984354628,537,0.8044692737430168
logsumexp_x64,vector,dst,8,768,192,7.459147917027272,0,0.0078125,767,0.0,537,0.0
logsumexp_x64,vector,src1,8,768,17,2.2516291673878226,0,0.6666666666666666,767,0.7809647979139505,537,0.7262569832402235
logsumexp_x64,vector,src0,8,768,256,7.918295834054535,1,0.005208333333333333,767,0.0,537,0.0
logsumexp_x64,vector,mask,1,768,1,-0.0,0,1.0,767,1.0,537,1.0
logsumexp_x64,vector,optype,4,768,3,1.584962500721156,12,0.3333333333333333,767,0.6284224250325945,537,0.6294227188081937
logsumexp_x64,scalar,imm,1,448,1,-0.0,0,1.0,447,1.0,126,1.0
logsumexp_x64,scalar,connect,1,448,1,-0.0,0,1.0,447,1.0,126,1.0
logsumexp_x64,scalar,dst,8,448,112,6.807354922057591,4,0.008928571428571428,447,0.0,126,0.0
logsumexp_x64,scalar,src1,8,448,112,6.807354922057591,1,0.008928571428571428,447,0.0,126,0.0
logsumexp_x64,scalar,src0,8,448,112,6.807354922057591,0,0.008928571428571428,447,0.0,126,0.0
logsumexp_x64,scalar,mask,1,448,1,-0.0,0,1.0,447,1.0,126,1.0
logsumexp_x64,scalar,optype,4,448,2,0.9852281360342515,2,0.5714285714285714,447,0.5503355704697986,126,0.8174603174603174
logsumexp_x64,sfu,borrow,2,320,1,-0.0,2,1.0,319,1.0,0,0.0
logsumexp_x64,sfu,dst,8,320,144,7.121928094887366,14,0.0125,319,0.0,0,0.0
logsumexp_x64,sfu,src,8,320,144,7.121928094887366,13,0.0125,319,0.0,0,0.0
logsumexp_x64,sfu,is_vector,1,320,2,0.7219280948873623,1,0.8,319,0.6081504702194357,0,0.0
logsumexp_x64,sfu,rounds,8,320,2,0.7219280948873623,4,0.8,319,0.6081504702194357,0,0.0
logsumexp_x64,sfu,optype,4,320,2,0.7219280948873623,1,0.8,319,0.6081504702194357,0,0.0
