cycle,load,store,vector,scalar,sfu,reserved,eop,word_hex
106,0x00000000000,0x00000000000,0x02d000f4d,0x00000000,0x00000000,0,0,0000000000000000000000b4003d340000000000000000
107,0x00000000000,0x00000000000,0x050eeb083,0x00000000,0x00000000,0,0,000000000000000000000143bac20c0000000000000000
108,0x00000000000,0x00000000000,0x0512eb0a3,0x4760c74f,0x00000000,0,0,000000000000000000000144bac28e3b063a7800000000
109,0x00000000000,0x00000000000,0x0516eb0c3,0x00000000,0x00000000,0,0,000000000000000000000145bac30c0000000000000000
110,0x00000000000,0x00000000000,0x05330b2c3,0x00000000,0x00000000,0,0,00000000000000000000014cc2cb0c0000000000000000
111,0x00000000000,0x00000000000,0x05370b2e3,0x00000000,0x00000000,0,0,00000000000000000000014dc2cb8c0000000000000000
112,0x00000000000,0x00000000000,0x053b0b303,0x45808562,0x00000000,0,0,00000000000000000000014ec2cc0e2c042b1000000000
113,0x00000000000,0x00000000000,0x0364019cb,0x0949092b,0x00000000,0,0,0000000000000000000000d900672c4a48495800000000
114,0x00000000000,0x00000000000,0x0310010ee,0x00000000,0x00000000,0,0,0000000000000000000000c40043b80000000000000000
115,0x00000000000,0x00000000000,0x03140112e,0x47808762,0x00000000,0,0,0000000000000000000000c50044ba3c043b1000000000
116,0x00000000000,0x00000000000,0x03180116e,0x0b2aeacb,0x00000000,0,0,0000000000000000000000c60045b85957565800000000
117,0x00000000000,0x00000000000,0x03340132e,0x0d2ceccb,0x00000000,0,0,0000000000000000000000cd004cb86967665800000000
118,0x00000000000,0x00000000000,0x03380136e,0x00000000,0x00000000,0,0,0000000000000000000000ce004db80000000000000000
119,0x00000000000,0x00000000000,0x033c013ae,0x41c0a1b1,0x05a58002,0,0,0000000000000000000000cf004eba0e050d885a580020
120,0x00000000000,0x00000000000,0x05572b503,0x4960c94f,0x00000000,0,0,000000000000000000000155cad40e4b064a7800000000
121,0x00000000000,0x00000000000,0x02ec0110d,0x43c0a3b1,0x00000000,0,0,0000000000000000000000bb0044361e051d8800000000
122,0x00000000000,0x00000000000,0x02ee0114d,0x00000000,0x07a78002,0,0,0000000000000000000000bb804534000000007a780020
123,0x00000000000,0x00000000000,0x02f00118d,0x0b4b0b2b,0x00000000,0,0,0000000000000000000000bc0046345a58595800000000
124,0x00000000000,0x00000000000,0x030c0134d,0x0d4d0d2b,0x00000000,0,0,0000000000000000000000c3004d346a68695800000000
125,0x00000000000,0x00000000000,0x030e0138d,0x16965662,0x00000000,0,0,0000000000000000000000c3804e34b4b2b31000000000
126,0x00000000000,0x00000000000,0x0310013cd,0x00000000,0x01e1c003,0,0,0000000000000000000000c4004f34000000001e1c0030
127,0x00000000000,0x00000000000,0x03580156e,0x49808962,0x00000000,0,0,0000000000000000000000d60055ba4c044b1000000000
128,0x00000000000,0x00000000000,0x055b2b523,0x00000000,0x03e3c003,0,0,000000000000000000000156cad48c000000003e3c0030
129,0x00000000000,0x00000000000,0x055f2b543,0x00000000,0x00000000,0,0,000000000000000000000157cad50c0000000000000000
130,0x00000000000,0x00000000000,0x057b4b743,0x00000000,0x00000000,0,0,00000000000000000000015ed2dd0c0000000000000000
131,0x00000000000,0x00000000000,0x057f4b763,0x4b60cb4f,0x00000000,0,0,00000000000000000000015fd2dd8e5b065a7800000000
