cycle,load,store,vector,scalar,sfu,reserved,eop,word_hex
47,0x0000002f17b,0x00000000000,0x000000000,0x00000000,0x42e2d044,0,0,000000bc5ec0000000000000000000000000042e2d0440
48,0x00000030183,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000c060c00000000000000000000000000000000000
49,0x0000003118b,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000c462c00000000000000000000000000000000000
50,0x00000032193,0x00000006037,0x000000000,0x00000000,0x00000000,0,0,000000c864c00000060370000000000000000000000000
51,0x0000003319b,0x00000000000,0x000000000,0x00000000,0x43231044,0,0,000000cc66c00000000000000000000000000432310440
52,0x000000341a3,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000d068c00000000000000000000000000000000000
53,0x000000351ab,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000d46ac00000000000000000000000000000000000
54,0x000000361b3,0x0000000703f,0x000000000,0x00000000,0x00000000,0,0,000000d86cc000000703f0000000000000000000000000
55,0x000000371bb,0x00000000000,0x000000000,0x00000000,0x43635044,0,0,000000dc6ec00000000000000000000000000436350440
56,0x000000381c3,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000e070c00000000000000000000000000000000000
57,0x000000391cb,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000e472c00000000000000000000000000000000000
58,0x0000003a1d3,0x00000008047,0x000000000,0x00000000,0x00000000,0,0,000000e874c00000080470000000000000000000000000
59,0x0000003b1db,0x00000000000,0x000000000,0x00000000,0x43a39044,0,0,000000ec76c0000000000000000000000000043a390440
60,0x0000003c1e3,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000f078c00000000000000000000000000000000000
61,0x0000003d1eb,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000f47ac00000000000000000000000000000000000
62,0x0000003e1f3,0x0000000904f,0x000000000,0x00000000,0x00000000,0,0,000000f87cc000000904f0000000000000000000000000
63,0x0000003f1fb,0x00000000000,0x000000000,0x00000000,0x43e3d044,0,0,000000fc7ec0000000000000000000000000043e3d0440
64,0x00000040203,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000010080c00000000000000000000000000000000000
65,0x0000004120b,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000010482c00000000000000000000000000000000000
66,0x00000042213,0x0000000a057,0x000000000,0x00000000,0x00000000,0,0,0000010884c000000a0570000000000000000000000000
67,0x0000004321b,0x00000000000,0x000000000,0x00000000,0x44241044,0,0,0000010c86c00000000000000000000000000442410440
68,0x00000044223,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000011088c00000000000000000000000000000000000
69,0x0000004522b,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000001148ac00000000000000000000000000000000000
70,0x00000046233,0x0000000b05f,0x000000000,0x00000000,0x00000000,0,0,000001188cc000000b05f0000000000000000000000000
71,0x0000004723b,0x00000000000,0x000000000,0x00000000,0x44645044,0,0,0000011c8ec00000000000000000000000000446450440
72,0x00000048243,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000012090c00000000000000000000000000000000000
