t,half,imm,connect,dst,src1,src0,mask,optype
127,00,0,00,00000000,00000000,00000000,0,0000
128,10,0,10,01110110,01101011,01100111,0,0011
129,00,0,01,00101111,00000000,00101011,0,1011
130,00,0,00,00000000,00000000,00000000,0,0000
131,00,0,00,00000000,00000000,00000000,0,0000
132,10,0,10,10001000,10001010,10000000,0,0011
133,00,0,00,00000000,00000000,00000000,0,0000
134,00,0,00,00000000,00000000,00000000,0,0000
135,00,0,01,00110000,00000000,00101101,0,1011
136,10,0,10,10001010,10001010,10000001,0,0011
137,00,0,00,00000000,00000000,00000000,0,0000
138,00,0,00,00000000,00000000,00000000,0,0000
139,00,0,00,00000000,00000000,00000000,0,0000
140,10,0,10,10001100,10001010,10000010,0,0011
141,00,0,01,00110001,00000000,00101111,0,1011
142,00,0,00,00000000,00000000,00000000,0,0000
143,00,0,00,00000000,00000000,00000000,0,0000
144,10,0,10,10001110,10001010,10000011,0,0011
145,00,0,00,00000000,00000000,00000000,0,0000
146,00,0,00,00000000,00000000,00000000,0,0000
147,00,0,01,00110010,00000000,00110001,0,1011
148,10,0,10,10010000,10001010,10000100,0,0011
149,00,0,00,00000000,00000000,00000000,0,0000
150,00,0,00,00000000,00000000,00000000,0,0000
151,00,0,00,00000000,00000000,00000000,0,0000
152,10,0,10,10010010,10001010,10000101,0,0011
153,00,0,01,00110011,00000000,00110011,0,1011
154,00,0,00,00000000,00000000,00000000,0,0000
155,00,0,00,00000000,00000000,00000000,0,0000
156,10,0,10,10010100,10001010,10000110,0,0011
157,00,0,00,00000000,00000000,00000000,0,0000
158,00,0,00,00000000,00000000,00000000,0,0000
159,00,0,01,00110100,00000000,00110101,0,1011
160,10,0,10,10010110,10001010,10000111,0,0011
161,00,0,00,00000000,00000000,00000000,0,0000
162,00,0,00,00000000,00000000,00000000,0,0000
163,00,0,00,00000000,00000000,00000000,0,0000
164,10,0,10,10101000,10101001,10100000,0,0011
165,00,0,01,00110101,00000000,00110111,0,1011
166,00,0,00,00000000,00000000,00000000,0,0000
167,00,0,00,00000000,00000000,00000000,0,0000
168,10,0,10,10101010,10101001,10100001,0,0011
169,00,0,00,00000000,00000000,00000000,0,0000
170,00,0,00,00000000,00000000,00000000,0,0000
171,00,0,01,01001101,00000000,01001001,0,1011
172,10,0,10,10101100,10101001,10100010,0,0011
173,00,0,00,00000000,00000000,00000000,0,0000
174,00,0,00,00000000,00000000,00000000,0,0000
175,00,0,00,00000000,00000000,00000000,0,0000
176,10,0,10,00011000,00011110,00001000,0,0011
177,00,0,01,01001110,00000000,01001011,0,1011
178,00,0,00,00000000,00000000,00000000,0,0000
179,00,0,00,00000000,00000000,00000000,0,0000
180,10,0,10,00011001,00011110,00001010,0,0011
181,00,0,00,00000000,00000000,00000000,0,0000
182,00,0,00,00000000,00000000,00000000,0,0000
183,00,0,01,01001111,00000000,01001101,0,1011
184,10,0,10,00011010,00011110,00001100,0,0011
185,00,0,00,00000000,00000000,00000000,0,0000
186,00,0,00,00000000,00000000,00000000,0,0000
187,00,0,00,00000000,00000000,00000000,0,0000
188,10,0,10,00011011,00011110,00001110,0,0011
189,00,0,01,01010000,00000000,01001111,0,1011
190,00,0,00,00000000,00000000,00000000,0,0000
191,00,0,00,00000000,00000000,00000000,0,0000
192,10,0,10,00011100,00011110,00010000,0,0011
193,00,0,00,00000000,00000000,00000000,0,0000
194,00,0,00,00000000,00000000,00000000,0,0000
195,00,0,01,01010001,00000000,01010001,0,1011
196,10,0,10,00011101,00011110,00010010,0,0011
197,00,0,00,00000000,00000000,00000000,0,0000
198,00,0,00,00000000,00000000,00000000,0,0000
199,00,0,00,00000000,00000000,00000000,0,0000
200,10,0,10,00011110,00011110,00010100,0,0011
201,00,0,01,01010010,00000000,01010011,0,1011
202,00,0,00,00000000,00000000,00000000,0,0000
203,00,0,00,00000000,00000000,00000000,0,0000
204,10,0,10,00011111,00011110,00010110,0,0011
205,00,0,00,00000000,00000000,00000000,0,0000
206,00,0,00,00000000,00000000,00000000,0,0000
207,00,0,01,01010011,00000000,01010101,0,1011
208,10,0,10,10101110,10101001,10100011,0,0011
209,00,0,00,00000000,00000000,00000000,0,0000
210,00,0,00,00000000,00000000,00000000,0,0000
211,00,0,00,00000000,00000000,00000000,0,0000
212,10,0,10,10110000,10101001,10100100,0,0011
213,00,0,01,01010100,00000000,01010111,0,1011
214,00,0,00,00000000,00000000,00000000,0,0000
215,00,0,00,00000000,00000000,00000000,0,0000
216,10,0,10,10110010,10101001,10100101,0,0011
217,00,0,00,00000000,00000000,00000000,0,0000
218,00,0,00,00000000,00000000,00000000,0,0000
219,00,0,01,01101100,00000000,01101001,0,1011
220,10,0,10,10110100,10101001,10100110,0,0011
221,00,0,01,11111000,00000000,00000000,0,1100
222,00,0,01,11111001,00000000,00000001,0,1100
223,00,0,01,11111010,00000000,00000010,0,1100
224,10,0,10,00111000,00111101,00101000,0,0011
225,00,0,01,01101101,00000000,01101011,0,1011
226,00,0,01,11111011,00000000,00000011,0,1100
227,00,0,01,11111100,00000000,00000100,0,1100
228,10,0,10,00111001,00111101,00101010,0,0011
229,00,0,01,11111101,00000000,00000101,0,1100
230,00,0,01,11111110,00000000,00000110,0,1100
231,00,0,01,01101110,00000000,01101101,0,1011
232,10,0,10,00111010,00111101,00101100,0,0011
233,00,0,01,11111111,00000000,00000111,0,1100
234,00,0,00,00000000,00000000,00000000,0,0000
235,00,0,00,00000000,00000000,00000000,0,0000
236,10,0,10,00111011,00111101,00101110,0,0011
