t,half,imm,connect,dst,src1,src0,mask,optype
127,00,0,01,10001100,00000000,10001011,0,1110
128,00,0,01,10110001,00000000,11001101,0,1011
129,00,0,00,00000000,00000000,00000000,0,0000
130,00,0,01,10011010,00000000,10011001,0,1110
131,00,0,01,10110010,00000000,11001110,0,1011
132,00,0,01,11000000,00000000,11011110,0,1011
133,00,0,01,11000001,00000000,11011111,0,1011
134,00,0,01,01111000,00000000,10001100,0,1101
135,00,0,01,11000010,00000000,11100000,0,1011
136,00,0,01,10011100,00000000,10011011,0,1110
137,00,0,01,10000110,00000000,10011010,0,1101
138,00,0,01,10011110,00000000,10011101,0,1110
139,00,0,01,10101100,00000000,10101011,0,1110
140,00,0,01,10101110,00000000,10101101,0,1110
141,00,0,01,10110000,00000000,10101111,0,1110
142,00,0,00,00000000,00000000,00000000,0,0000
143,00,0,00,00000000,00000000,00000000,0,0000
144,00,0,01,10000111,00000000,10011100,0,1101
145,00,0,01,10001000,00000000,10011110,0,1101
146,00,0,01,10010110,00000000,10101100,0,1101
147,00,0,01,10010111,00000000,10101110,0,1101
148,00,0,01,10011000,00000000,10110000,0,1101
149,00,0,00,00000000,00000000,00000000,0,0000
150,00,0,00,00000000,00000000,00000000,0,0000
151,00,0,00,00000000,00000000,00000000,0,0000
152,00,0,00,00000000,00000000,00000000,0,0000
153,00,0,00,00000000,00000000,00000000,0,0000
154,00,0,00,00000000,00000000,00000000,0,0000
155,00,0,10,00001111,00001111,00001001,0,0001
156,00,0,10,00010010,00001111,00001011,0,0001
157,00,0,10,10111101,10100101,10111010,0,0011
158,00,0,10,10111111,10100101,10111011,0,0011
159,00,0,10,11000001,10100101,10111100,0,0011
160,00,0,10,00010101,00001111,00001101,0,0001
161,00,0,10,00100001,00011111,00011011,0,0001
162,00,0,00,00010000,00000000,00001111,0,0001
163,00,0,00,00010011,00000010,00010010,0,0001
164,00,0,00,00000000,00000000,00000000,0,0000
165,00,0,10,11001111,10110101,11001100,0,0011
166,00,0,10,11010001,10110101,11001101,0,0011
167,00,0,10,11010011,10110101,11001110,0,0011
168,00,0,10,11100001,11000101,11011110,0,0011
169,00,0,00,00010001,00000001,00010000,0,0010
170,00,0,10,11100011,11000101,11011111,0,0011
171,00,0,00,00010100,00000011,00010011,0,0010
172,00,0,00,00000000,00000000,00000000,0,0000
173,00,0,00,00010110,00000100,00010101,0,0001
174,00,0,00,00100010,00000000,00100001,0,0001
175,00,0,10,00100100,00011111,00011101,0,0001
176,00,0,10,00100111,00011111,00011111,0,0001
177,00,0,10,00110011,00101111,00101101,0,0001
178,00,0,10,00110110,00101111,00101111,0,0001
179,00,0,10,00111001,00101111,00110001,0,0001
180,00,0,00,00010111,00000101,00010110,0,0010
181,00,0,00,00100011,00000001,00100010,0,0010
182,00,0,00,00100101,00000010,00100100,0,0001
183,00,0,00,00101000,00000100,00100111,0,0001
184,00,0,00,00110100,00000000,00110011,0,0001
185,00,0,00,00110111,00000010,00110110,0,0001
186,00,0,00,00000000,00000000,00000000,0,0000
187,00,0,00,00111010,00000100,00111001,0,0001
188,00,0,10,01000101,00111111,00111111,0,0001
189,00,0,00,00100110,00000011,00100101,0,0010
190,00,0,00,00000000,00000000,00000000,0,0000
191,00,0,00,00101001,00000101,00101000,0,0010
192,00,0,00,00110101,00000001,00110100,0,0010
193,00,0,00,00111000,00000011,00110111,0,0010
194,00,0,01,11010000,00000000,11110000,0,1011
195,00,0,00,00111011,00000101,00111010,0,0010
196,00,0,00,01000110,00000000,01000101,0,0001
197,00,0,10,01001000,00111111,01000001,0,0001
198,00,0,10,01001011,00111111,01000011,0,0001
199,00,0,10,01010111,01001111,01010001,0,0001
200,00,0,10,01011010,01001111,01010011,0,0001
201,00,0,10,01011101,01001111,01010101,0,0001
202,00,0,10,01101001,01011111,01100011,0,0001
203,00,0,00,01000111,00000001,01000110,0,0010
204,00,0,00,01001001,00000010,01001000,0,0001
205,00,0,00,01001100,00000100,01001011,0,0001
206,00,0,00,01011000,00000000,01010111,0,0001
207,00,0,00,01011011,00000010,01011010,0,0001
208,00,0,01,11010001,00000000,11110001,0,1011
209,00,0,00,01011110,00000100,01011101,0,0001
210,00,0,00,01101010,00000000,01101001,0,0001
211,00,0,00,01001010,00000011,01001001,0,0010
212,00,0,00,01001101,00000101,01001100,0,0010
213,00,0,00,01011001,00000001,01011000,0,0010
214,00,0,10,01101100,01011111,01100101,0,0001
215,00,0,00,01011100,00000011,01011011,0,0010
216,00,0,01,11010010,00000000,11110010,0,1011
217,00,0,00,01011111,00000101,01011110,0,0010
218,00,0,00,01101011,00000001,01101010,0,0010
219,00,0,10,01101111,01011111,01100111,0,0001
220,00,0,10,01111011,01101111,01110101,0,0001
221,00,0,00,01101101,00000010,01101100,0,0001
222,00,0,10,01111110,01101111,01110111,0,0001
223,00,0,10,10000001,01101111,01111001,0,0001
224,00,0,10,10001101,01111111,10000111,0,0001
225,00,0,10,10010000,01111111,10001001,0,0001
226,00,0,00,01110000,00000100,01101111,0,0001
227,00,0,00,01111100,00000000,01111011,0,0001
228,00,0,00,01101110,00000011,01101101,0,0010
229,00,0,00,01111111,00000010,01111110,0,0001
230,00,0,01,11100000,00000000,00001000,0,1011
231,00,0,00,10000010,00000100,10000001,0,0001
232,00,0,00,10001110,00000000,10001101,0,0001
233,00,0,00,01110001,00000101,01110000,0,0010
234,00,0,00,01111101,00000001,01111100,0,0010
235,00,0,00,10010001,00000010,10010000,0,0001
236,00,0,10,10010011,01111111,10001011,0,0001
237,00,0,00,10000000,00000011,01111111,0,0010
238,00,0,01,11100001,00000000,00001001,0,1011
239,00,0,00,10000011,00000101,10000010,0,0010
240,00,0,00,10001111,00000001,10001110,0,0010
241,00,0,10,10011111,10001111,10011001,0,0001
242,00,0,00,10010010,00000011,10010001,0,0010
243,00,0,00,10010100,00000100,10010011,0,0001
244,00,0,10,10100010,10001111,10011011,0,0001
245,00,0,10,10100101,10001111,10011101,0,0001
246,00,0,10,10110001,10011111,10101011,0,0001
247,00,0,10,10110100,10011111,10101101,0,0001
248,00,0,00,10100000,00000000,10011111,0,0001
249,00,0,10,10110111,10011111,10101111,0,0001
250,00,0,00,10010101,00000101,10010100,0,0010
