t,mem_fmt,mem_addr,gpr_fmt,gpr_addr,optype
101,00,00000000000000000000,00,00000000,00
102,00,00000000000000000000,00,00000000,00
103,00,00000000000000000000,00,00000000,00
104,00,00000000000000000000,00,00000000,00
105,00,00000000000000000000,00,00000000,00
106,00,00000000000000000000,00,00000000,00
107,00,00000000000000000000,00,00000000,00
108,00,00000000000000000000,00,00000000,00
109,00,00000000000000000000,00,00000000,00
110,00,00000000000000000000,00,00000000,00
111,00,00000000000000000000,00,00000000,00
112,00,00000000000000000000,00,00000000,00
113,00,00000000000000000000,00,00000000,00
114,00,00000000000000000000,00,00000000,00
115,00,00000000000000000000,00,00000000,00
116,00,00000000000000000000,00,00000000,00
117,00,00000000000000000000,00,00000000,00
118,00,00000000000000000000,00,00000000,00
119,00,00000000000000000000,00,00000000,00
120,00,00000000000000000000,00,00000000,00
121,00,00000000000000000000,00,00000000,00
122,00,00000000000000000000,00,00000000,00
123,00,00000000000000000000,00,00000000,00
124,00,00000000000000000000,00,00000000,00
125,00,00000000000000000000,00,00000000,00
126,00,00000000000000000000,00,00000000,00
127,00,00000000000000000000,00,00000000,00
128,00,00000000000000000000,00,00000000,00
129,00,00000000000000000000,00,00000000,00
130,00,00000000000000000000,00,00000000,00
131,00,00000000000000000000,00,00000000,00
132,00,00000000000000000000,00,00000000,00
133,00,00000000000000000000,00,00000000,00
134,00,00000000000000000000,00,00000000,00
135,00,00000000000000000000,00,00000000,00
136,00,00000000000000000000,00,00000000,00
137,00,00000000000000000000,00,00000000,00
138,00,00000000000000000000,00,00000000,00
139,00,00000000000000000000,00,00000000,00
140,00,00000000000000000000,00,00000000,00
141,00,00000000000000000000,00,00000000,00
142,00,00000000000000000000,00,00000000,00
143,00,00000000000000000000,00,00000000,00
144,00,00000000000000000000,00,00000000,00
145,00,00000000000000000000,00,00000000,00
146,00,00000000000000000000,00,00000000,00
147,00,00000000000000000000,00,00000000,00
148,00,00000000000000000000,00,00000000,00
149,00,00000000000000000000,00,00000000,00
150,00,00000000000000000000,00,00000000,00
151,00,00000000000000000000,00,00000000,00
152,00,00000000000000000000,00,00000000,00
153,00,00000000000000000000,00,00000000,00
154,00,00000000000000000000,00,00000000,00
155,00,00000000000000000000,00,00000000,00
156,00,00000000000000000000,00,00000000,00
157,00,00000000000000000000,00,00000000,00
158,00,00000000000000000000,00,00000000,00
159,00,00000000000000000000,00,00000000,00
160,00,00000000000000000000,00,00000000,00
161,00,00000000000000000000,00,00000000,00
162,00,00000000000000000000,00,00000000,00
163,00,00000000000000000000,00,00000000,00
164,00,00000000000000000000,00,00000000,00
165,00,00000000000000000000,00,00000000,00
166,00,00000000000000000000,00,00000000,00
167,00,00000000000000000000,00,00000000,00
168,00,00000000000000000000,00,00000000,00
169,00,00000000000000000000,00,00000000,00
170,00,00000000000000000000,00,00000000,00
171,00,00000000000000000000,00,00000000,00
172,00,00000000000000000000,00,00000000,00
173,00,00000000000000000000,00,00000000,00
174,00,00000000000000000000,00,00000000,00
175,00,00000000000000000000,00,00000000,00
176,00,00000000000000000000,00,00000000,00
177,00,00000000000000000000,00,00000000,00
178,00,00000000000000000000,00,00000000,00
179,00,00000000000000000000,00,00000000,00
180,00,00000000000000000000,00,00000000,00
181,00,00000000000000000000,00,00000000,00
182,00,00000000000000000000,00,00000000,00
183,00,00000000000000000000,00,00000000,00
184,00,00000000000000000000,00,00000000,00
185,00,00000000000000000000,00,00000000,00
186,00,00000000000000000000,00,00000000,00
187,00,00000000000000000000,00,00000000,00
188,00,00000000000000101110,00,11110001,11
189,00,00000000000000101101,00,11110000,11
190,00,00000000000000000000,00,00000000,00
191,00,00000000000000000000,00,00000000,00
192,00,00000000000000101111,00,11110010,11
193,00,00000000000000000000,00,00000000,00
194,00,00000000000000000000,00,00000000,00
195,00,00000000000000000000,00,00000000,00
196,00,00000000000000000000,00,00000000,00
197,00,00000000000000000000,00,00000000,00
198,00,00000000000000000000,00,00000000,00
199,00,00000000000000110000,00,00001000,11
200,00,00000000000000000000,00,00000000,00
201,00,00000000000000000000,00,00000000,00
202,00,00000000000000110001,00,00001001,11
203,00,00000000000000000000,00,00000000,00
204,00,00000000000000110100,00,00011011,11
205,00,00000000000000110010,00,00001010,11
206,00,00000000000000110011,00,00011010,11
207,00,00000000000000110101,00,00011100,11
208,00,00000000000000000000,00,00000000,00
209,00,00000000000000000000,00,00000000,00
210,00,00000000000000000000,00,00000000,00
211,00,00000000000000000000,00,00000000,00
212,00,00000000000000000000,00,00000000,00
213,00,00000000000000000000,00,00000000,00
