t,half,imm,connect,dst,src1,src0,mask,optype
127,00,0,00,00000000,00000000,00000000,0,0000
128,00,0,00,00000000,00000000,00000000,0,0000
129,00,0,00,00000000,00000000,00000000,0,0000
130,00,0,00,00000000,00000000,00000000,0,0000
131,00,0,00,00000000,00000000,00000000,0,0000
132,00,0,00,00000000,00000000,00000000,0,0000
133,00,0,01,00000000,00000000,11000000,0,1100
134,00,0,01,00000001,00000000,11000001,0,1100
135,00,0,01,00000010,00000000,11000010,0,1100
136,00,0,01,00000011,00000000,11000011,0,1100
137,00,0,00,00000000,00000000,00000000,0,0000
138,00,0,00,00000000,00000000,00000000,0,0000
139,00,0,00,00000000,00000000,00000000,0,0000
140,00,0,00,00000000,00000000,00000000,0,0000
141,00,0,00,00000000,00000000,00000000,0,0000
142,00,0,01,00111001,00000000,00101101,0,1011
143,00,0,00,00000000,00000000,00000000,0,0000
144,00,0,00,00000000,00000000,00000000,0,0000
145,00,0,00,00000000,00000000,00000000,0,0000
146,00,0,01,00111010,00000000,00101111,0,1011
147,00,0,00,00000000,00000000,00000000,0,0000
148,00,0,00,00000000,00000000,00000000,0,0000
149,00,0,01,00010000,00000000,11001100,0,1100
150,00,0,01,01000111,00000000,00110101,0,1011
151,00,0,01,00010001,00000000,11001101,0,1100
152,00,0,01,00010010,00000000,11001110,0,1100
153,00,0,01,00010011,00000000,11001111,0,1100
154,00,0,01,01001000,00000000,00110111,0,1011
155,00,0,00,00000000,00000000,00000000,0,0000
156,00,0,00,00000000,00000000,00000000,0,0000
157,00,0,00,00000000,00000000,00000000,0,0000
158,00,0,01,01001001,00000000,00111001,0,1011
159,00,0,00,00000000,00000000,00000000,0,0000
160,00,0,00,00000000,00000000,00000000,0,0000
161,00,0,00,00000000,00000000,00000000,0,0000
162,00,0,01,01001010,00000000,00111011,0,1011
163,00,0,00,00000000,00000000,00000000,0,0000
164,00,0,00,00000000,00000000,00000000,0,0000
165,00,0,00,00000000,00000000,00000000,0,0000
166,00,0,01,01010111,00000000,01000001,0,1011
167,00,0,01,00100000,00000000,11011000,0,1100
168,00,0,01,00100001,00000000,11011001,0,1100
169,00,0,01,00100010,00000000,11011010,0,1100
170,00,0,01,01011000,00000000,01000011,0,1011
171,00,0,00,00000000,00000000,00000000,0,0000
172,00,0,01,00100011,00000000,11011011,0,1100
173,00,0,00,00000000,00000000,00000000,0,0000
174,00,0,01,01011001,00000000,01000101,0,1011
175,00,0,00,00000000,00000000,00000000,0,0000
176,00,0,00,00000000,00000000,00000000,0,0000
177,00,0,00,00000000,00000000,00000000,0,0000
178,00,0,01,01011010,00000000,01000111,0,1011
179,00,0,10,01010000,01100110,01001010,0,0011
180,00,0,10,01010010,01100110,01001011,0,0011
181,00,0,10,01011000,01110110,01010100,0,0011
182,00,0,01,01100111,00000000,01001101,0,1011
183,00,0,10,01011010,01110110,01010101,0,0011
184,00,0,10,01011100,01110110,01010110,0,0011
185,00,0,10,01011110,01110110,01010111,0,0011
186,00,0,01,01101000,00000000,01001111,0,1011
187,00,0,10,01100100,10000110,01100000,0,0011
188,00,0,10,01100110,10000110,01100001,0,0011
189,00,0,10,01101000,10000110,01100010,0,0011
190,00,0,00,00000000,00000000,00000000,0,0000
191,00,0,10,01101010,10000110,01100011,0,0011
192,00,0,10,01110000,10010110,01101100,0,0011
193,00,0,10,01110010,10010110,01101101,0,0011
194,00,0,00,00000000,00000000,00000000,0,0000
195,00,0,00,00000000,00000000,00000000,0,0000
196,00,0,00,00000000,00000000,00000000,0,0000
197,00,0,00,00000000,00000000,00000000,0,0000
198,00,0,00,00000000,00000000,00000000,0,0000
199,00,0,00,00000000,00000000,00000000,0,0000
200,00,0,00,00000000,00000000,00000000,0,0000
201,00,0,00,00000000,00000000,00000000,0,0000
202,00,0,00,00000000,00000000,00000000,0,0000
203,00,0,00,00000000,00000000,00000000,0,0000
204,00,0,00,00000000,00000000,00000000,0,0000
205,00,0,01,00110000,00000000,11100100,0,1100
206,00,0,01,00110001,00000000,11100101,0,1100
207,00,0,01,00110010,00000000,11100110,0,1100
208,00,0,01,00110011,00000000,11100111,0,1100
209,00,0,00,00000000,00000000,00000000,0,0000
210,00,0,00,00000000,00000000,00000000,0,0000
211,00,0,00,00000000,00000000,00000000,0,0000
212,00,0,00,00000000,00000000,00000000,0,0000
213,00,0,00,00000000,00000000,00000000,0,0000
214,00,0,01,01101001,00000000,01010001,0,1011
215,00,0,00,00000000,00000000,00000000,0,0000
216,00,0,00,00000000,00000000,00000000,0,0000
217,00,0,00,00000000,00000000,00000000,0,0000
218,00,0,01,01101010,00000000,01010011,0,1011
219,00,0,00,00000000,00000000,00000000,0,0000
220,00,0,00,00000000,00000000,00000000,0,0000
221,00,0,01,01000000,00000000,11110000,0,1100
222,00,0,01,01110111,00000000,01011001,0,1011
223,00,0,01,01000001,00000000,11110001,0,1100
224,00,0,01,01000010,00000000,11110010,0,1100
225,00,0,01,01000011,00000000,11110011,0,1100
226,00,0,01,01111000,00000000,01011011,0,1011
227,00,0,00,00000000,00000000,00000000,0,0000
228,00,0,00,00000000,00000000,00000000,0,0000
229,00,0,00,00000000,00000000,00000000,0,0000
230,00,0,01,01111001,00000000,01011101,0,1011
231,00,0,00,00000000,00000000,00000000,0,0000
232,00,0,00,00000000,00000000,00000000,0,0000
233,00,0,00,00000000,00000000,00000000,0,0000
234,00,0,01,01111010,00000000,01011111,0,1011
