t,imm,connect,dst,src1,src0,mask,optype
138,0,0,00011111,00011110,00010110,0,0010
139,0,0,00000000,00000000,00000000,0,0000
140,0,0,00000000,00000000,00000000,0,0000
141,0,0,00000100,00000001,00000000,0,0100
142,0,0,00000000,00000000,00000000,0,0000
143,0,0,00000101,00000011,00000010,0,0100
144,0,0,00000000,00000000,00000000,0,0000
145,0,0,00000000,00000000,00000000,0,0000
146,0,0,00000000,00000000,00000000,0,0000
147,0,0,00000000,00000000,00000000,0,0000
148,0,0,00000000,00000000,00000000,0,0000
149,0,0,00000000,00000000,00000000,0,0000
150,0,0,00000110,00000101,00000100,0,0100
151,0,0,00000000,00000000,00000000,0,0000
152,0,0,00000000,00000000,00000000,0,0000
153,0,0,00000000,00000000,00000000,0,0000
154,0,0,00000000,00000000,00000000,0,0000
155,0,0,00101111,00101110,00100110,0,0010
156,0,0,00000000,00000000,00000000,0,0000
157,0,0,00000000,00000000,00000000,0,0000
158,0,0,00111100,00111010,00111001,0,0010
159,0,0,00000000,00000000,00000000,0,0000
160,0,0,00010100,00010001,00010000,0,0100
161,0,0,00010101,00010011,00010010,0,0100
162,0,0,00000000,00000000,00000000,0,0000
163,0,0,00000000,00000000,00000000,0,0000
164,0,0,00000000,00000000,00000000,0,0000
165,0,0,00111101,00111100,00111011,0,0010
166,0,0,01001011,01001000,01000111,0,0010
167,0,0,00000000,00000000,00000000,0,0000
168,0,0,00010110,00010101,00010100,0,0100
169,0,0,00000000,00000000,00000000,0,0000
170,0,0,00000000,00000000,00000000,0,0000
171,0,0,00000000,00000000,00000000,0,0000
172,0,0,00000000,00000000,00000000,0,0000
173,0,0,00000000,00000000,00000000,0,0000
174,0,0,01001100,01001010,01001001,0,0010
175,0,0,00000000,00000000,00000000,0,0000
176,0,0,00100100,00100001,00100000,0,0100
177,0,0,00000000,00000000,00000000,0,0000
178,0,0,00000000,00000000,00000000,0,0000
179,0,0,00000000,00000000,00000000,0,0000
180,0,0,00000000,00000000,00000000,0,0000
181,0,0,01001101,01001100,01001011,0,0010
182,0,0,01011011,01011000,01010111,0,0010
183,0,0,00000000,00000000,00000000,0,0000
184,0,0,00000000,00000000,00000000,0,0000
185,0,0,00000000,00000000,00000000,0,0000
186,0,0,00100101,00100011,00100010,0,0100
187,0,0,00000000,00000000,00000000,0,0000
188,0,0,00000000,00000000,00000000,0,0000
189,0,0,00000000,00000000,00000000,0,0000
190,0,0,01011100,01011010,01011001,0,0010
191,0,0,00000000,00000000,00000000,0,0000
192,0,0,00000000,00000000,00000000,0,0000
193,0,0,00100110,00100101,00100100,0,0100
194,0,0,00111111,00111110,00110110,0,0010
195,0,0,00000000,00000000,00000000,0,0000
196,0,0,00000000,00000000,00000000,0,0000
197,0,0,01011101,01011100,01011011,0,0010
198,0,0,01101011,01101000,01100111,0,0010
199,0,0,00000000,00000000,00000000,0,0000
200,0,0,00000000,00000000,00000000,0,0000
201,0,0,00000000,00000000,00000000,0,0000
202,0,0,00000000,00000000,00000000,0,0000
203,0,0,00000000,00000000,00000000,0,0000
204,0,0,00000000,00000000,00000000,0,0000
205,0,0,00000000,00000000,00000000,0,0000
206,0,0,00000000,00000000,00000000,0,0000
207,0,0,00000000,00000000,00000000,0,0000
208,0,0,00000000,00000000,00000000,0,0000
209,0,0,00000000,00000000,00000000,0,0000
210,0,0,01001111,01001110,01000110,0,0010
211,0,0,00000000,00000000,00000000,0,0000
212,0,0,00000000,00000000,00000000,0,0000
213,0,0,00110100,00110001,00110000,0,0100
214,0,0,00000000,00000000,00000000,0,0000
215,0,0,00110101,00110011,00110010,0,0100
216,0,0,00000000,00000000,00000000,0,0000
217,0,0,00000000,00000000,00000000,0,0000
218,0,0,00000000,00000000,00000000,0,0000
219,0,0,00000000,00000000,00000000,0,0000
220,0,0,00000000,00000000,00000000,0,0000
221,0,0,00000000,00000000,00000000,0,0000
222,0,0,00110110,00110101,00110100,0,0100
223,0,0,00000000,00000000,00000000,0,0000
224,0,0,00000000,00000000,00000000,0,0000
225,0,0,00000000,00000000,00000000,0,0000
226,0,0,00000000,00000000,00000000,0,0000
227,0,0,01011111,01011110,01010110,0,0010
228,0,0,00000000,00000000,00000000,0,0000
229,0,0,00000000,00000000,00000000,0,0000
230,0,0,01101100,01101010,01101001,0,0010
231,0,0,00000000,00000000,00000000,0,0000
232,0,0,01000100,01000001,01000000,0,0100
233,0,0,01000101,01000011,01000010,0,0100
234,0,0,00000000,00000000,00000000,0,0000
235,0,0,00000000,00000000,00000000,0,0000
236,0,0,00000000,00000000,00000000,0,0000
237,0,0,01101101,01101100,01101011,0,0010
238,0,0,01111011,01111000,01110111,0,0010
239,0,0,00000000,00000000,00000000,0,0000
240,0,0,01000110,01000101,01000100,0,0100
241,0,0,00000000,00000000,00000000,0,0000
242,0,0,00000000,00000000,00000000,0,0000
243,0,0,00000000,00000000,00000000,0,0000
244,0,0,00000000,00000000,00000000,0,0000
245,0,0,00000000,00000000,00000000,0,0000
246,0,0,01111100,01111010,01111001,0,0010
247,0,0,00000000,00000000,00000000,0,0000
248,0,0,01010100,01010001,01010000,0,0100
249,0,0,00000000,00000000,00000000,0,0000
250,0,0,00000000,00000000,00000000,0,0000
251,0,0,00000000,00000000,00000000,0,0000
252,0,0,00000000,00000000,00000000,0,0000
253,0,0,01111101,01111100,01111011,0,0010
254,0,0,10001011,10001000,10000111,0,0010
255,0,0,00000000,00000000,00000000,0,0000
256,0,0,00000000,00000000,00000000,0,0000
257,0,0,00000000,00000000,00000000,0,0000
258,0,0,01010101,01010011,01010010,0,0100
259,0,0,00000000,00000000,00000000,0,0000
260,0,0,00000000,00000000,00000000,0,0000
261,0,0,00000000,00000000,00000000,0,0000
262,0,0,10001100,10001010,10001001,0,0010
263,0,0,00000000,00000000,00000000,0,0000
264,0,0,00000000,00000000,00000000,0,0000
265,0,0,01010110,01010101,01010100,0,0100
266,0,0,01101111,01101110,01100110,0,0010
267,0,0,00000000,00000000,00000000,0,0000
268,0,0,00000000,00000000,00000000,0,0000
269,0,0,10001101,10001100,10001011,0,0010
270,0,0,10011011,10011000,10010111,0,0010
