t,half,imm,connect,dst,src1,src0,mask,optype
215,00,0,10,10001101,01111111,10000111,0,0001
216,00,0,00,01110001,00000101,01110000,0,0010
217,00,0,00,01111101,00000001,01111100,0,0010
218,00,0,10,10010011,01111111,10001011,0,0001
219,00,0,00,10000000,00000011,01111111,0,0010
220,00,0,01,11010010,00000000,11110010,0,1011
221,00,0,00,10000010,00000100,10000001,0,0001
222,00,0,00,10001110,00000000,10001101,0,0001
223,00,0,00,10010001,00000010,10010000,0,0001
224,00,0,10,10100010,10001111,10011011,0,0001
225,00,0,00,10010100,00000100,10010011,0,0001
226,00,0,10,10011111,10001111,10011001,0,0001
227,00,0,10,10100101,10001111,10011101,0,0001
228,00,0,00,10000011,00000101,10000010,0,0010
229,00,0,00,10001111,00000001,10001110,0,0010
230,00,0,00,10010010,00000011,10010001,0,0010
231,00,0,00,10100011,00000010,10100010,0,0001
232,00,0,01,11100000,00000000,00001000,0,1011
233,00,0,00,10010101,00000101,10010100,0,0010
234,00,0,00,10100000,00000000,10011111,0,0001
235,00,0,00,10100110,00000100,10100101,0,0001
236,00,0,10,10110100,10011111,10101101,0,0001
237,00,0,10,10110001,10011111,10101011,0,0001
238,00,0,10,10110111,10011111,10101111,0,0001
239,00,0,00,10100100,00000011,10100011,0,0010
240,00,0,01,11100010,00000000,00001010,0,1011
241,00,0,00,10100001,00000001,10100000,0,0010
242,00,0,00,10100111,00000101,10100110,0,0010
243,00,0,00,10110101,00000010,10110100,0,0001
244,00,0,00,10110010,00000000,10110001,0,0001
245,00,0,00,10111000,00000100,10110111,0,0001
246,00,0,10,11000011,10101111,10111101,0,0001
247,00,0,10,11000110,10101111,10111111,0,0001
248,00,0,10,11010011,10110101,11001110,0,0011
249,00,0,10,11001001,10101111,11000001,0,0001
250,00,0,00,10110110,00000011,10110101,0,0010
251,00,0,00,10110011,00000001,10110010,0,0010
252,00,0,00,10111001,00000101,10111000,0,0010
253,00,0,00,11000100,00000000,11000011,0,0001
254,00,0,00,11000111,00000010,11000110,0,0001
255,00,0,01,11110001,00000000,00011011,0,1011
256,00,0,00,11001010,00000100,11001001,0,0001
257,00,0,01,11010010,00000000,11010001,0,1110
258,00,0,10,11100001,11000101,11011110,0,0011
259,00,0,01,11010100,00000000,11010011,0,1110
260,00,0,00,11000101,00000001,11000100,0,0010
261,00,0,10,11100011,11000101,11011111,0,0011
262,00,0,00,11001000,00000011,11000111,0,0010
263,00,0,01,11110000,00000000,00011010,0,1011
264,00,0,00,11001011,00000101,11001010,0,0010
265,00,0,01,10110111,00000000,11010010,0,1101
266,00,0,01,10111000,00000000,11010100,0,1101
267,00,0,10,11100101,11000101,11100000,0,0011
268,00,0,01,11100010,00000000,11100001,0,1110
269,00,0,01,11100100,00000000,11100011,0,1110
270,00,0,10,11110101,11010101,11110001,0,0011
271,00,0,10,11110011,11010101,11110000,0,0011
272,00,0,10,11110111,11010101,11110010,0,0011
273,00,0,10,00001011,11100101,00001000,0,0011
274,00,0,01,11100110,00000000,11100101,0,1110
275,00,0,01,11000110,00000000,11100010,0,1101
276,00,0,01,11000111,00000000,11100100,0,1101
277,00,0,01,11110110,00000000,11110101,0,1110
278,00,0,01,11110100,00000000,11110011,0,1110
279,00,0,01,11111000,00000000,11110111,0,1110
280,00,0,01,00001100,00000000,00001011,0,1110
281,00,0,01,11001000,00000000,11100110,0,1101
282,00,0,10,00001101,11100101,00001001,0,0011
283,00,0,10,00001111,11100101,00001010,0,0011
284,00,0,01,11010111,00000000,11110110,0,1101
285,00,0,01,11010110,00000000,11110100,0,1101
286,00,0,01,11011000,00000000,11111000,0,1101
287,00,0,01,11100110,00000000,00001100,0,1101
288,00,0,01,11110010,00000000,00011100,0,1011
289,00,0,01,00001110,00000000,00001101,0,1110
290,00,0,01,00010000,00000000,00001111,0,1110
291,00,0,01,00000000,00000000,00101100,0,1011
292,00,0,01,00000001,00000000,00101101,0,1011
293,00,0,01,00000010,00000000,00101110,0,1011
294,00,0,01,00010000,00000000,00111110,0,1011
295,00,0,01,00010001,00000000,00111111,0,1011
296,00,0,01,11100111,00000000,00001110,0,1101
297,00,0,01,11101000,00000000,00010000,0,1101
298,00,0,01,00010010,00000000,01000000,0,1011
299,00,0,01,00100000,00000000,01010000,0,1011
300,00,0,01,00100001,00000000,01010001,0,1011
301,00,0,01,00100010,00000000,01010010,0,1011
302,00,0,01,00110000,00000000,01100010,0,1011
303,00,0,01,00110001,00000000,01100011,0,1011
304,00,0,01,00110010,00000000,01100100,0,1011
305,00,0,01,01000000,00000000,01110100,0,1011
306,00,0,01,01000001,00000000,01110101,0,1011
307,00,0,01,01000010,00000000,01110110,0,1011
308,00,0,01,01010000,00000000,10000110,0,1011
309,00,0,01,01010001,00000000,10000111,0,1011
310,00,0,01,01010010,00000000,10001000,0,1011
311,00,0,01,01100000,00000000,10011000,0,1011
312,00,0,01,01100010,00000000,10011010,0,1011
313,00,0,01,01100001,00000000,10011001,0,1011
314,00,0,01,01110000,00000000,10101010,0,1011
315,00,0,01,01110001,00000000,10101011,0,1011
316,00,0,01,01110010,00000000,10101100,0,1011
317,00,0,00,00000000,00000000,00000000,0,0000
318,00,0,00,00000000,00000000,00000000,0,0000
319,00,0,10,00011101,11110101,00011010,0,0011
