t,imm,connect,dst,src1,src0,mask,optype
138,1,0,00101110,00000101,00101101,1,0001
139,1,0,01011100,00000100,01011011,0,0010
140,1,0,01101100,00000100,01101011,0,0010
141,1,0,00111110,00000101,00111101,1,0001
142,0,0,01111010,01111000,01111001,0,1011
143,0,0,00000000,00000000,00000000,0,0000
144,0,0,10001010,10001000,10001001,0,1011
145,0,0,00000000,00000000,00000000,0,0000
146,0,0,00000000,00000000,00000000,0,0000
147,0,0,00000000,00000000,00000000,0,0000
148,0,0,00000000,00000000,00000000,0,0000
149,1,0,01111011,00000110,01111010,0,1111
150,0,0,00000000,00000000,00000000,0,0000
151,1,0,10001011,00000110,10001010,0,1111
152,0,0,00000000,00000000,00000000,0,0000
153,1,0,01001110,00000101,01001101,1,0001
154,0,0,10011001,10010111,10010110,0,1011
155,0,0,00000000,00000000,00000000,0,0000
156,1,0,01111100,00000100,01111011,0,0010
157,0,0,00000000,00000000,00000000,0,0000
158,1,0,10001100,00000100,10001011,0,0010
159,0,0,00000000,00000000,00000000,0,0000
160,0,0,00000000,00000000,00000000,0,0000
161,0,0,10011010,10011000,10011001,0,1011
162,0,0,00000000,00000000,00000000,0,0000
163,0,0,10101001,10100111,10100110,0,1011
164,0,0,00000000,00000000,00000000,0,0000
165,1,0,01011110,00000101,01011101,1,0001
166,1,0,01101110,00000101,01101101,1,0001
167,0,0,00000000,00000000,00000000,0,0000
168,1,0,10011011,00000110,10011010,0,1111
169,0,0,00000000,00000000,00000000,0,0000
170,0,0,00000000,00000000,00000000,0,0000
171,0,0,00000000,00000000,00000000,0,0000
172,0,0,10101010,10101000,10101001,0,1011
173,0,0,00000000,00000000,00000000,0,0000
174,0,0,00000000,00000000,00000000,0,0000
175,1,0,10011100,00000100,10011011,0,0010
176,0,0,00000000,00000000,00000000,0,0000
177,0,0,00000000,00000000,00000000,0,0000
178,0,0,00000000,00000000,00000000,0,0000
179,1,0,10101011,00000110,10101010,0,1111
180,0,0,00000000,00000000,00000000,0,0000
181,0,0,00000000,00000000,00000000,0,0000
182,1,0,01111110,00000101,01111101,1,0001
183,0,0,00000000,00000000,00000000,0,0000
184,1,0,10001110,00000101,10001101,1,0001
185,0,0,00000000,00000000,00000000,0,0000
186,1,0,10101100,00000100,10101011,0,0010
187,0,0,11000011,11000001,11000000,0,0010
188,0,0,00000000,00000000,00000000,0,0000
189,0,0,00000000,00000000,00000000,0,0000
190,0,0,00000000,00000000,00000000,0,0000
191,0,0,00000000,00000000,00000000,0,0000
192,0,0,00000000,00000000,00000000,0,0000
193,0,0,00000000,00000000,00000000,0,0000
194,0,0,11000100,11000010,11000011,0,0010
195,0,0,00000000,00000000,00000000,0,0000
196,0,0,00000000,00000000,00000000,0,0000
197,0,0,00000000,00000000,00000000,0,0000
198,0,0,00000000,00000000,00000000,0,0000
199,0,0,00000000,00000000,00000000,0,0000
200,0,0,00000000,00000000,00000000,0,0000
201,1,0,10011110,00000101,10011101,1,0001
202,1,0,11000101,00000110,11000100,0,0001
203,0,0,00000000,00000000,00000000,0,0000
204,0,0,00000000,00000000,00000000,0,0000
205,0,0,00000000,00000000,00000000,0,0000
206,0,0,00000000,00000000,00000000,0,0000
207,0,0,00000000,00000000,00000000,0,0000
208,0,0,00000000,00000000,00000000,0,0000
209,0,0,00000000,00000000,00000000,0,0000
210,0,0,00000000,00000000,00000000,0,0000
211,0,0,00000000,00000000,00000000,0,0000
212,1,0,10101110,00000101,10101101,1,0001
213,0,0,00000000,00000000,00000000,0,0000
214,0,0,00000000,00000000,00000000,0,0000
215,0,0,00000000,00000000,00000000,0,0000
216,0,0,00000000,00000000,00000000,0,0000
217,0,0,11010011,11010001,11010000,0,0010
218,0,0,00000000,00000000,00000000,0,0000
219,0,0,00000000,00000000,00000000,0,0000
220,0,0,00000000,00000000,00000000,0,0000
221,0,0,00000000,00000000,00000000,0,0000
222,0,0,00000000,00000000,00000000,0,0000
223,0,0,00000000,00000000,00000000,0,0000
224,0,0,00000000,00000000,00000000,0,0000
225,0,0,00000000,00000000,00000000,0,0000
226,0,0,00000000,00000000,00000000,0,0000
227,0,0,00000000,00000000,00000000,0,0000
228,0,0,00000000,00000000,00000000,0,0000
229,0,0,00000000,00000000,00000000,0,0000
230,0,0,00000000,00000000,00000000,0,0000
231,0,0,00000000,00000000,00000000,0,0000
232,0,0,11010100,11010010,11010011,0,0010
233,0,0,00000000,00000000,00000000,0,0000
234,0,0,00000000,00000000,00000000,0,0000
235,0,0,00000000,00000000,00000000,0,0000
236,0,0,00000000,00000000,00000000,0,0000
237,0,0,00000000,00000000,00000000,0,0000
238,0,0,00000000,00000000,00000000,0,0000
239,1,0,11010101,00000110,11010100,0,0001
240,0,0,00000000,00000000,00000000,0,0000
241,0,0,00000000,00000000,00000000,0,0000
242,0,0,00000000,00000000,00000000,0,0000
243,0,0,00000000,00000000,00000000,0,0000
244,0,0,11100011,11100001,11100000,0,0010
245,0,0,00000000,00000000,00000000,0,0000
246,0,0,00000000,00000000,00000000,0,0000
247,0,0,00000000,00000000,00000000,0,0000
248,0,0,00000000,00000000,00000000,0,0000
249,0,0,00000000,00000000,00000000,0,0000
250,0,0,00000000,00000000,00000000,0,0000
251,0,0,00000000,00000000,00000000,0,0000
252,0,0,11100100,11100010,11100011,0,0010
253,0,0,00000000,00000000,00000000,0,0000
254,0,0,00000000,00000000,00000000,0,0000
255,0,0,00000000,00000000,00000000,0,0000
256,0,0,00000000,00000000,00000000,0,0000
257,0,0,00000000,00000000,00000000,0,0000
258,0,0,00000000,00000000,00000000,0,0000
259,1,0,11100101,00000110,11100100,0,0001
260,0,0,00000000,00000000,00000000,0,0000
261,0,0,00000000,00000000,00000000,0,0000
262,0,0,00000000,00000000,00000000,0,0000
263,0,0,00000000,00000000,00000000,0,0000
264,0,0,00000000,00000000,00000000,0,0000
265,0,0,00000000,00000000,00000000,0,0000
266,0,0,00000000,00000000,00000000,0,0000
267,0,0,00000000,00000000,00000000,0,0000
268,0,0,00000000,00000000,00000000,0,0000
269,0,0,00000000,00000000,00000000,0,0000
270,0,0,00000000,00000000,00000000,0,0000
271,0,0,00000000,00000000,00000000,0,0000
272,0,0,00000000,00000000,00000000,0,0000
273,0,0,00000000,00000000,00000000,0,0000
274,0,0,00000000,00000000,00000000,0,0000
275,0,0,11110011,11110001,11110000,0,0010
276,0,0,00000000,00000000,00000000,0,0000
277,0,0,10111001,10110111,10110110,0,1011
278,0,0,00000000,00000000,00000000,0,0000
279,0,0,00000000,00000000,00000000,0,0000
280,0,0,00000000,00000000,00000000,0,0000
281,0,0,00000000,00000000,00000000,0,0000
282,0,0,00000000,00000000,00000000,0,0000
283,0,0,00000000,00000000,00000000,0,0000
284,0,0,10111010,10111000,10111001,0,1011
285,0,0,00000000,00000000,00000000,0,0000
286,0,0,00000000,00000000,00000000,0,0000
287,0,0,00000000,00000000,00000000,0,0000
288,0,0,11001001,11000111,11000110,0,1011
289,0,0,00000000,00000000,00000000,0,0000
290,0,0,00000000,00000000,00000000,0,0000
291,1,0,10111011,00000110,10111010,0,1111
292,0,0,00000000,00000000,00000000,0,0000
293,0,0,00000000,00000000,00000000,0,0000
294,0,0,00000000,00000000,00000000,0,0000
295,0,0,11001010,11001000,11001001,0,1011
296,0,0,00000000,00000000,00000000,0,0000
297,0,0,00000000,00000000,00000000,0,0000
298,1,0,10111100,00000100,10111011,0,0010
299,0,0,11011001,11010111,11010110,0,1011
300,0,0,11110100,11110010,11110011,0,0010
301,0,0,00000000,00000000,00000000,0,0000
302,1,0,11001011,00000110,11001010,0,1111
303,0,0,00000000,00000000,00000000,0,0000
304,0,0,00000011,00000001,00000000,0,0010
305,0,0,00000000,00000000,00000000,0,0000
306,0,0,00000000,00000000,00000000,0,0000
307,0,0,11011010,11011000,11011001,0,1011
308,0,0,00010011,00010001,00010000,0,0010
309,1,0,11001100,00000100,11001011,0,0010
310,0,0,11101001,11100111,11100110,0,1011
311,0,0,00000100,00000010,00000011,0,0010
312,1,0,11110101,00000110,11110100,0,0001
313,0,0,00100011,00100001,00100000,0,0010
314,1,0,11011011,00000110,11011010,0,1111
315,0,0,00010100,00010010,00010011,0,0010
316,0,0,00000000,00000000,00000000,0,0000
317,0,0,00110011,00110001,00110000,0,0010
318,0,0,11101010,11101000,11101001,0,1011
319,1,0,00000101,00000110,00000100,0,0001
320,0,0,00100100,00100010,00100011,0,0010
321,1,0,11011100,00000100,11011011,0,0010
322,1,0,00010101,00000110,00010100,0,0001
323,0,0,01000011,01000001,01000000,0,0010
324,1,0,10111110,00000101,10111101,1,0001
325,1,0,11101011,00000110,11101010,0,1111
326,0,0,00110100,00110010,00110011,0,0010
327,1,0,00100101,00000110,00100100,0,0001
328,0,0,00000000,00000000,00000000,0,0000
329,0,0,00000000,00000000,00000000,0,0000
330,0,0,01000100,01000010,01000011,0,0010
331,0,0,00000000,00000000,00000000,0,0000
332,1,0,11101100,00000100,11101011,0,0010
333,1,0,00110101,00000110,00110100,0,0001
334,0,0,01010011,01010001,01010000,0,0010
335,1,0,11001110,00000101,11001101,1,0001
336,0,0,01100011,01100001,01100000,0,0010
337,1,0,01000101,00000110,01000100,0,0001
338,0,0,01110011,01110001,01110000,0,0010
339,0,0,00000000,00000000,00000000,0,0000
340,0,0,00000000,00000000,00000000,0,0000
341,0,0,01010100,01010010,01010011,0,0010
342,0,0,00000000,00000000,00000000,0,0000
343,0,0,01100100,01100010,01100011,0,0010
344,0,0,00000000,00000000,00000000,0,0000
345,0,0,01110100,01110010,01110011,0,0010
346,0,0,11111001,11110111,11110110,0,1011
347,1,0,11011110,00000101,11011101,1,0001
348,1,0,01010101,00000110,01010100,0,0001
349,0,0,00000000,00000000,00000000,0,0000
350,1,0,01100101,00000110,01100100,0,0001
351,0,0,00000000,00000000,00000000,0,0000
352,1,0,01110101,00000110,01110100,0,0001
353,0,0,11111010,11111000,11111001,0,1011
354,0,0,00000000,00000000,00000000,0,0000
355,0,0,00000000,00000000,00000000,0,0000
356,0,0,00001001,00000111,00000110,0,1011
357,0,0,00000000,00000000,00000000,0,0000
358,1,0,11101110,00000101,11101101,1,0001
359,0,0,00000000,00000000,00000000,0,0000
