priority_strategy,issue2_cycles,cycle_change,candidate_a_equal34_ratio,issue2_vertical_ratio,toggle_reduction
index,20752,0.016607064125802262,0.21951076312267923,0.2195273797180053,0.47579676347961275
shortest_latency,21080,0.0326752559643364,0.21654234552552945,0.21655870357041593,0.47624457475611914
latency,20709,0.014500563366482089,0.21990688706059833,0.21992353815848847,0.47142015500109324
critical_path,21659,0.06103953363052961,0.211521795776012,0.21153771652887254,0.470530282740942
critical_fanout,21658,0.06099054524077796,0.2115302354363496,0.2115461569243082,0.4723557769255885
critical_age,21589,0.05761034634791562,0.21211446016303534,0.21213043253721697,0.4719003087386461
pair_critical,21664,0.06128447557928762,0.21147960916144587,0.21149552623983428,0.4721654700679532
