Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.282	0.281	0 ms
Numeric time: 0.216	0.217	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.286	0.286	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.288	0.288	0 ms
Numeric time: 0.212	0.212	0 ms
Symbolic time: 0.28	0.28	0 ms
Numeric time: 0.214	0.214	0 ms
Symbolic time: 0.286	0.287	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.213	0.214	0 ms
Symbolic time: 0.289	0.289	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.217	0.218	0 ms
Symbolic time: 0.281	0.281	0 ms
Numeric time: 0.21	0.21	0 ms
Symbolic time: 0.285	0.285	0 ms
Numeric time: 0.219	0.22	0 ms
Symbolic time: 0.281	0.281	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.218	0.218	0 ms
Symbolic time: 0.286	0.285	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.282	0.283	0 ms
Numeric time: 0.215	0.214	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.288	0.288	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.284	0.284	0 ms
Numeric time: 0.22	0.22	0 ms
Symbolic time: 0.289	0.289	0 ms
Numeric time: 0.216	0.215	0 ms
Symbolic time: 0.282	0.283	0 ms
Numeric time: 0.22	0.22	0 ms
Symbolic time: 0.284	0.284	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.218	0.218	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.214	0.214	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.218	0.218	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.287	0.287	0 ms
Numeric time: 0.214	0.214	0 ms
Symbolic time: 0.281	0.282	0 ms
Numeric time: 0.214	0.214	0 ms
Symbolic time: 0.288	0.288	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.283	0	0.279 ms
Numeric time: 0.214	0	0.214 ms
Symbolic time: 0.281	0	0.282 ms
Numeric time: 0.219	0.147	0.072 ms
Symbolic time: 0.282	0.265	0.017 ms
Numeric time: 0.213	0.2	0.013 ms
Symbolic time: 0.284	0.268	0.018 ms
Numeric time: 0.22	0.22	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.284	0.284	0 ms
Numeric time: 0.212	0.212	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.288	0.288	0 ms
Numeric time: 0.214	0.214	0 ms
Symbolic time: 0.281	0.281	0 ms
Numeric time: 0.212	0.212	0 ms
Symbolic time: 0.287	0.287	0 ms
Numeric time: 0.212	0.212	0 ms
Symbolic time: 0.285	0.285	0 ms
Numeric time: 0.211	0.211	0 ms
Symbolic time: 0.288	0.289	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.284	0.284	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.284	0.284	0 ms
Numeric time: 0.209	0.21	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.219	0.219	0 ms
Symbolic time: 0.282	0.283	0 ms
Numeric time: 0.213	0.214	0 ms
Symbolic time: 0.281	0.282	0 ms
Numeric time: 0.218	0.218	0 ms
Symbolic time: 0.283	0.282	0 ms
Numeric time: 0.216	0.217	0 ms
Symbolic time: 0.286	0.286	0 ms
Numeric time: 0.217	0.217	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.286	0.286	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.28	0.28	0 ms
Numeric time: 0.214	0.213	0 ms
Symbolic time: 0.287	0.287	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.28	0.28	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.284	0.284	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.281	0.281	0 ms
Numeric time: 0.22	0.221	0 ms
Symbolic time: 0.285	0.285	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.293	0.292	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.283	0.284	0 ms
Numeric time: 0.217	0.217	0 ms
Symbolic time: 0.284	0.284	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.281	0.281	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.287	0.287	0 ms
Numeric time: 0.214	0.215	0 ms
Symbolic time: 0.281	0.282	0 ms
Numeric time: 0.214	0.214	0 ms
Symbolic time: 0.284	0.284	0 ms
Numeric time: 0.212	0.212	0 ms
Symbolic time: 0.284	0.284	0 ms
Numeric time: 0.217	0.216	0 ms
Symbolic time: 0.284	0.284	0 ms
Numeric time: 0.213	0.214	0 ms
Symbolic time: 0.281	0.281	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.282	0.283	0 ms
Numeric time: 0.215	0.214	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.216	0	0.216 ms
Symbolic time: 0.283	0	0.283 ms
Numeric time: 0.216	0	0.216 ms
Symbolic time: 0.285	0.147	0.138 ms
Numeric time: 0.213	0.201	0.012 ms
Symbolic time: 0.283	0.266	0.017 ms
Numeric time: 0.214	0.202	0.013 ms
Symbolic time: 0.287	0.287	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.284	0.284	0 ms
Numeric time: 0.215	0.211	0.003 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.281	0.282	0 ms
Numeric time: 0.226	0	0.226 ms
Symbolic time: 0.284	0	0.284 ms
Numeric time: 0.214	0	0.215 ms
Symbolic time: 0.284	0.094	0.19 ms
Numeric time: 0.219	0.219	0 ms
Symbolic time: 0.438	0.318	0 ms
Numeric time: 0.239	0.24	0 ms
Symbolic time: 0.292	0.291	0 ms
Numeric time: 0.214	0.213	0 ms
Symbolic time: 0.283	0.282	0 ms
Numeric time: 0.236	0.236	0 ms
Symbolic time: 0.288	0.287	0 ms
Numeric time: 0.224	0.225	0 ms
Symbolic time: 0.284	0.283	0 ms
Numeric time: 0.236	0.236	0 ms
Symbolic time: 0.283	0.284	0 ms
Numeric time: 0.214	0.214	0 ms
Symbolic time: 0.29	0.29	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.282	0.281	0 ms
Numeric time: 0.223	0.223	0 ms
Symbolic time: 0.29	0.29	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.285	0.286	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.219	0.219	0 ms
Symbolic time: 0.281	0.281	0 ms
Numeric time: 0.216	0.215	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.218	0.218	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.217	0.218	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.222	0.222	0 ms
Symbolic time: 0.281	0.281	0 ms
Numeric time: 0.217	0.216	0 ms
Symbolic time: 0.295	0.295	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.289	0.289	0 ms
Numeric time: 0.214	0.214	0 ms
Symbolic time: 0.285	0.284	0 ms
Numeric time: 0.219	0.219	0 ms
Symbolic time: 0.29	0.29	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.283	0.282	0 ms
Numeric time: 0.221	0.221	0 ms
Symbolic time: 0.31	0.31	0 ms
Numeric time: 0.22	0.219	0 ms
Symbolic time: 0.281	0.281	0 ms
Numeric time: 0.221	0.221	0 ms
Symbolic time: 0.281	0.28	0 ms
Numeric time: 0.214	0.214	0 ms
Symbolic time: 0.287	0.288	0 ms
Numeric time: 0.22	0.22	0 ms
Symbolic time: 0.281	0.281	0 ms
Numeric time: 0.213	0.214	0 ms
Symbolic time: 0.289	0.29	0 ms
Numeric time: 0.222	0.221	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.227	0.227	0 ms
Symbolic time: 0.29	0.289	0 ms
Numeric time: 0.214	0.213	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.213	0.214	0 ms
Symbolic time: 0.281	0	0.282 ms
Numeric time: 0.214	0	0.215 ms
Symbolic time: 0.282	0	0.282 ms
Numeric time: 0.221	0.158	0.064 ms
Symbolic time: 0.282	0.264	0.018 ms
Numeric time: 0.214	0.2	0.013 ms
Symbolic time: 0.283	0.265	0.017 ms
Numeric time: 0.22	0.221	0 ms
Symbolic time: 0.284	0.284	0 ms
Numeric time: 0.216	0.215	0 ms
Symbolic time: 0.289	0.288	0 ms
Numeric time: 0.217	0.216	0 ms
Symbolic time: 0.282	0.283	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.289	0.289	0 ms
Numeric time: 0.216	0.215	0 ms
Symbolic time: 0.282	0.281	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.286	0.286	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.282	0.283	0 ms
Numeric time: 0.219	0.218	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.214	0.213	0 ms
Symbolic time: 0.281	0.281	0 ms
Numeric time: 0.219	0.219	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.217	0.216	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.22	0.22	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.212	0.213	0 ms
Symbolic time: 0.289	0.289	0 ms
Numeric time: 0.212	0.213	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.214	0.215	0 ms
Symbolic time: 0.289	0.289	0 ms
Numeric time: 0.212	0.211	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.289	0.288	0 ms
Numeric time: 0.211	0.211	0 ms
Symbolic time: 0.296	0.295	0 ms
Numeric time: 0.225	0.225	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.231	0.231	0 ms
Symbolic time: 0.285	0.284	0 ms
Numeric time: 0.228	0.228	0 ms
Symbolic time: 0.285	0.285	0 ms
Numeric time: 0.216	0.217	0 ms
Symbolic time: 0.287	0.287	0 ms
Numeric time: 0.216	0.217	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.217	0.217	0 ms
Symbolic time: 0.315	0.316	0 ms
Numeric time: 0.22	0.22	0 ms
Symbolic time: 0.283	0.282	0 ms
Numeric time: 0.217	0.217	0 ms
Symbolic time: 0.288	0.288	0 ms
Numeric time: 0.214	0.213	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.227	0.228	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.282	0.283	0 ms
Numeric time: 0.221	0.222	0 ms
Symbolic time: 0.284	0.283	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.288	0.288	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.281	0.28	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.287	0.287	0 ms
Numeric time: 0.215	0.214	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.213	0.214	0 ms
Symbolic time: 0.29	0.29	0 ms
Numeric time: 0.213	0.214	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.214	0.214	0 ms
Symbolic time: 0.29	0.29	0 ms
