Symbolic time: 1.778	1.778	0 ms
Numeric time: 0.955	0.957	0 ms
Symbolic time: 1.728	1.727	0 ms
Numeric time: 0.952	0.952	0 ms
Symbolic time: 1.73	1.731	0 ms
Numeric time: 0.96	0.961	0 ms
Symbolic time: 1.729	1.728	0 ms
Numeric time: 0.966	0.966	0 ms
Symbolic time: 1.734	1.733	0 ms
Numeric time: 0.953	0.953	0 ms
Symbolic time: 1.733	1.734	0 ms
Numeric time: 0.953	0.953	0 ms
Symbolic time: 1.719	1.719	0 ms
Numeric time: 0.952	0.953	0 ms
Symbolic time: 1.775	1.775	0 ms
Numeric time: 0.964	0	0.965 ms
Symbolic time: 1.768	0.916	0.851 ms
Numeric time: 0.946	0.946	0 ms
Symbolic time: 1.732	1.732	0 ms
Numeric time: 0.948	0	0.949 ms
Symbolic time: 1.736	1.736	0 ms
Numeric time: 0.951	0.951	0 ms
Symbolic time: 1.778	1.778	0 ms
Numeric time: 0.948	0.949	0 ms
Symbolic time: 1.731	1.732	0 ms
Numeric time: 0.967	0.968	0 ms
Symbolic time: 1.73	1.73	0 ms
Numeric time: 0.967	0.968	0 ms
Symbolic time: 1.731	1.731	0 ms
Numeric time: 0.941	0.927	0.014 ms
Symbolic time: 1.726	0.903	0.823 ms
Numeric time: 0.939	0	0.939 ms
Symbolic time: 1.773	0.894	0.88 ms
Numeric time: 0.949	0.95	0 ms
Symbolic time: 1.729	1.729	0 ms
Numeric time: 0.954	0.954	0 ms
Symbolic time: 1.727	1.727	0 ms
Numeric time: 0.947	0.948	0 ms
Symbolic time: 1.729	1.73	0 ms
Numeric time: 0.962	0.009	0.953 ms
Symbolic time: 1.735	1.734	0 ms
Numeric time: 0.954	0.955	0 ms
Symbolic time: 1.777	1.777	0 ms
Numeric time: 0.95	0.951	0 ms
Symbolic time: 1.727	1.727	0 ms
Numeric time: 0.962	0.963	0 ms
Symbolic time: 1.725	1.692	0.033 ms
Numeric time: 0.949	0	0.949 ms
Symbolic time: 1.72	1.678	0.041 ms
Numeric time: 0.956	0.956	0 ms
Symbolic time: 1.731	1.732	0 ms
Numeric time: 0.955	0	0.956 ms
Symbolic time: 1.733	1.733	0 ms
Numeric time: 0.951	0.951	0 ms
Symbolic time: 1.727	1.727	0 ms
Numeric time: 0.948	0.948	0 ms
Symbolic time: 1.731	1.73	0 ms
Numeric time: 0.945	0.945	0 ms
Symbolic time: 1.741	1.741	0 ms
Numeric time: 0.951	0.951	0 ms
Symbolic time: 1.728	1.728	0 ms
Numeric time: 0.949	0.95	0 ms
Symbolic time: 1.729	1.723	0.005 ms
Numeric time: 0.942	0.942	0 ms
Symbolic time: 1.737	1.737	0 ms
Numeric time: 0.949	0.949	0 ms
Symbolic time: 1.733	0.757	0.976 ms
Numeric time: 0.947	0.947	0 ms
Symbolic time: 1.731	1.732	0 ms
Numeric time: 0.94	0.941	0 ms
Symbolic time: 1.725	1.725	0 ms
Numeric time: 0.959	0.959	0 ms
Symbolic time: 1.738	1.738	0 ms
Numeric time: 0.944	0.945	0 ms
Symbolic time: 1.728	1.729	0 ms
Numeric time: 0.947	0.009	0.938 ms
Symbolic time: 1.772	1.707	0.064 ms
Numeric time: 0.939	0	0.939 ms
Symbolic time: 1.73	1.682	0.048 ms
Numeric time: 0.955	0.956	0 ms
Symbolic time: 1.738	0.76	0.978 ms
Numeric time: 0.941	0.942	0 ms
Symbolic time: 1.725	1.724	0 ms
Numeric time: 0.944	0	0.945 ms
Symbolic time: 1.725	1.725	0 ms
Numeric time: 0.942	0.942	0 ms
Symbolic time: 1.724	1.724	0 ms
Numeric time: 0.941	0.942	0 ms
Symbolic time: 1.737	1.737	0 ms
Numeric time: 0.948	0.948	0 ms
Symbolic time: 1.732	1.709	0.022 ms
Numeric time: 0.941	0.941	0 ms
Symbolic time: 1.73	0.912	0.818 ms
Numeric time: 0.942	0.943	0 ms
Symbolic time: 1.725	1.724	0 ms
Numeric time: 0.94	0	0.941 ms
Symbolic time: 1.725	1.726	0 ms
Numeric time: 0.943	0.943	0 ms
Symbolic time: 1.723	1.722	0 ms
Numeric time: 0.95	0.95	0 ms
Symbolic time: 1.732	1.733	0 ms
Numeric time: 0.943	0	0.943 ms
Symbolic time: 1.729	1.729	0 ms
Numeric time: 0.94	0.879	0.061 ms
Symbolic time: 1.72	1.719	0 ms
Numeric time: 0.945	0.944	0 ms
Symbolic time: 1.726	1.726	0 ms
Numeric time: 0.964	0.964	0 ms
Symbolic time: 1.729	1.73	0 ms
Numeric time: 0.943	0.944	0 ms
Symbolic time: 1.729	1.729	0 ms
Numeric time: 0.946	0.947	0 ms
Symbolic time: 1.725	1.725	0 ms
Numeric time: 0.958	0.958	0 ms
Symbolic time: 1.733	1.732	0 ms
Numeric time: 0.957	0.957	0 ms
Symbolic time: 1.728	1.728	0 ms
